fig1a.BY4742	fig1a.fob1	fig1a.gpa2	fig1a.gpr1	fig1a.hxk2	fig1b.BY4742	fig1b.fob1	fig1b.hxk2	fig1b.fob1.hxk2	fig1c.BY4742	fig1c.fob1	fig1c.gpa2	fig1c.fob1.gpa2	fig2a.BY4742	fig2a.sir2	fig2a.hxk2.sir2	fig2a.gpa2.sir2	fig2b.BY4742	fig2b.sir2	fig2b.sir2.fob1	fig2c.BY4742	fig2c.sir2.fob1	fig2c.sir2.fob1.hxk2	fig2d.BY4742	fig2d.sir2.fob1	fig2d.gpa2.sir2.fob1	fig3.by4742.2glucose	fig3.sir2.fob1.2glucose	fig3.by4742.05glucose	fig3.sir2.fob1.05glucose	fig3.WT.01glucose	fig3.sir2.fob1.01glucose	fig3.by4742.005glucose	fig3.sir2.fob1.005glucose	fig4a.PSY316	fig4a.PSY316.fob1	fig4a.PSY316.sir2ox	fig4b.BY4742.2glucose	fig4b.BY4742.05glucose	fig4b.by4742.SIR2-ox.2glucose	fig4b.by4742.SIR2-ox.05glucose
4	11	15	5	2	4	11	2	6	4	11	15	10	7	5	7	7	5	5	5	5	5	4	5	5	5	13	5	8	14	14	14	15	9	4	5	6	4	6	20	13
7	12	15	7	4	5	12	4	7	7	12	15	14	10	5	8	7	9	5	6	7	6	5	7	6	6	14	15	13	21	18	25	18	22	8	8	8	13	15	21	15
13	19	27	27	18	12	19	18	16	13	19	27	50	16	10	11	10	14	10	15	14	15	29	14	15	50	27	25	35	34	35	44	32	45	18	17	18	20	23	25	27
14	19	28	27	18	12	19	18	18	14	19	28	50	16	11	12	10	14	11	15	15	15	30	15	15	50	29	31	36	35	36	48	34	47	19	17	18	20	24	25	27
15	19	29	28	19	13	19	19	18	15	19	29	51	16	11	12	11	15	11	15	15	15	32	15	15	51	29	34	36	38	37	49	37	51	21	18	18	21	24	25	27
15	20	29	28	19	13	20	19	18	15	20	29	52	16	11	12	11	15	11	16	15	16	32	15	16	51	29	37	38	41	39	51	38	54	21	18	20	22	25	26	29
15	20	31	28	19	14	20	19	19	15	20	31	52	17	11	12	11	15	11	16	15	16	36	15	16	54	32	39	38	41	39	55	41	57	21	19	20	22	25	26	31
15	20	31	29	20	14	20	20	19	15	20	31	53	17	11	13	11	15	11	16	15	16	36	15	16	54	35	41	42	42	41	59	46	65	22	19	21	22	25	26	32
15	21	32	31	20	15	21	20	19	15	21	32	53	17	11	13	11	15	11	16	16	16	38	16	16	54	35	46	42	44	44	63	49	68	22	19	21	22	26	26	32
15	21	32	32	20	15	21	20	19	15	21	32	54	17	11	14	11	15	11	17	16	17	40	16	17	55	42	48	44	47	45	69	53	77	23	19	21	23	26	28	32
16	21	32	33	21	15	21	21	20	16	21	32	55	17	11	14	11	15	11	17	16	17	41	16	17	55									23	20	21	23	27	28	33
16	21	35	34	21	15	21	21	21	16	21	35	56	18	11	14	12	15	11	17	16	17	42	16	17	58									23	20	22	23	28	28	33
16	21	36	36	22	15	21	22	22	16	21	36	57	18	12	14	12	16	12	17	17	17	43	17	17	58									23	20	22	23	28	29	33
16	23	36	36	22	15	23	22	23	16	23	36	59	18	12	15	12	16	12	19	17	19	44	17	19	58									23	21	22	23	28	29	33
17	23	37	36	23	15	23	23	26	17	23	37	60	18	12	16	12	16	12	19	17	19	45	17	19	58									24	21	23	23	29	30	35
17	23	38	36	23	15	23	23	27	17	23	38	61	19	12	16	12	16	12	19	17	19	45	17	19	58									24	21	23	24	30	30	35
17	23	38	37	23	15	23	23	27	17	23	38	63	19	12	16	13	16	12	19	17	19	45	17	19	59									24	22	23	24	30	30	35
17	23	40	41	24	16	23	24	28	17	23	40	65	19	12	16	13	16	12	19	18	19	46	18	19	61									25	22	23	24	30	30	37
17	23	41	42	24	16	23	24	28	17	23	41	66	20	12	16	13	16	12	20	18	20	48	18	20	63									25	23	24	25	30	30	38
17	24	41	43	25	16	24	25	28	17	24	41	67	20	12	22	13	17	12	20	18	20	48	18	20	64									25	23	24	26	31	31	38
18	26	42	44	25	16	26	25	28	17	26	42	67	20	13		13	17	13	20	18	20	48	18	20	64									25	23	24	27	31	33	38
18	26	47	46	25	16	26	25	29	18	26	47	68	20	13		13	17	13	20	18	20	50	18	20	65									26	24	24	27	31	34	39
18	26	47	52	26	17	26	26	29	18	26	47	71	21	13		14	17	13	20	18	20	51	18	20	65									27	25	24	27	31	34	39
18	27	48	53	26	17	27	26	29	18	27	48	74	21	13		14	17	13	20	18	20	51	18	20	65									29	27	25	28	32	34	40
18	27	51	54	26	17	27	26	29	18	27	51	76	21	13		14	17	13	21	18	21	51	18	21	66									30	29	25	29	32	35	41
18	27	54	54	27	17	27	27	30	18	27	54	78	21	13		15	17	13	21	19	21	52	19	21	66									32	29	25	29	32	36	41
18	27	55	57	27	17	27	27	30	18	27	55	81	22	13		15	18	13	21	19	21	55	19	21	67									32	30	25	29	32	36	41
19	28	57	62	27	17	28	27	31	18	28	57	86	22	13		17	18	13	21	19	21	55	19	21	71									33	34	26	29	32	36	41
19	29	59	62	28	17	29	28	31	18	29	59	87	22	13		17	18	13	21	19	21	55	19	21	74									35	35	26	30	32	37	41
19	29	63	62	28	18	29	28	31	19	29	63	91	22	13		20	18	13	21	20	21	56	20	21	79									36	38	26	30	32	38	42
19	29			28	18	29	28	32	19	29			22	13			18	13	21	20	21	56	20	21												27	30	34	39	42
19	29			29	18	29	29	32	19	29			22	14			18	14	21	20	21	56	20	21												27	30	36	40	42
20	30			29	18	30	29	33	19	30			22	14			18	14	22	20	22	57	20	22												28	31	37	41	42
20	30			29	18	30	29	34	19	30			23	14			18	14	22	21	22	57	21	22												28	31	38	41	42
20	30			29	18	30	29	34	19	30			23	14			19	14	23	21	23	58	21	23												29	31	38	42	44
20	31			29	18	31	29	34	20	31			23	14			19	14	23	21	23	58	21	23												29	32	39	42	44
21	31			30	18	31	30	34	20	31			23	14			19	14	24	21	24	59	21	24												30	32	40	43	44
21	32			30	18	32	30	34	20	32			23	14			19	14	24	22	24	59	22	24												31	33	40	43	45
21	33			30	18	33	30	35	20	33			23	14			19	14	24	22	24	60	22	24												33	33	40	44	47
21	33			31	18	33	31	36	20	33			23	14			19	14	24	22	24	63	22	24												37	33	41	45	48
21	34			31	19	34	31	37	20	34			24	14			19	14	24	22	24	64	22	24													35	42	45	48
21	34			31	19	34	31	37	20	34			24	15			20	15	25	22	25	65	22	25													35	43	46	48
22	35			31	19	35	31	38	20	35			24	15			20	15	25	22	25	65	22	25													35	46	48	49
22	35			31	19	35	31	39	20	35			24	15			20	15	25	23	25	65	23	25													35	48	49	50
22	35			32	19	35	32	39	21	35			24	15			20	15	25	23	25	68	23	25													35	49	50	50
22	35			33	19	35	33	39	21	35			25	15			20	15	25	23	25	68	23	25													36	50	50	51
22	35			33	19	35	33	40	21	35			25	15			21	15	25	23	25	70	23	25													37	53	56	51
22	35			34	19	35	34	40	21	35			25	15			21	15	25	23	25	71	23	25													38	53	58	53
22	36			34	20	36	34	40	21	36			25	15			21	15	26	23	26	71	23	26													40	58	61	53
22	36			34	20	36	34	40	21	36			25	15			21	15	26	23	26	76	23	26													42	60	65	54
22	36			34	20	36	34	41	22	36			25	15			21	15	26	23	26		23	26																55
23	36			34	20	36	34	41	22	36			25	16			21	16	26	24	26		24	26																55
23	37			35	20	37	35	41	22	37			25	16			21	16	26	24	26		24	26																56
23	38			36	21	38	36	42	22	38			25	16			21	16	27	24	27		24	27																57
23	38			36	21	38	36	42	22	38			25	16			21	16	28	24	28		24	28																58
23	38			37	21	38	37	42	22	38			26	16			21	16	29	24	29		24	29																59
23	38			37	21	38	37	43	22	38			26	16			21	16	29	24	29		24	29																59
23	38			37	21	38	37	43	22	38			26	16			21	16	29	24	29		24	29																60
23	38			37	21	38	37	44	22	38			27	16			22	16	30	24	30		24	30																60
23	39			37	21	39	37	45	22	39			27	16			22	16	30	24	30		24	30																60
23	39			38	21	39	38	45	22	39			27	16			22	16	30	25	30		25	30																61
24	39			38	21	39	38	45	23	39			27	17			22	17	30	25	30		25	30																62
24	39			38	22	39	38	45	23	39			28	17			22	17	30	25	30		25	30																62
24	39			38	22	39	38	46	23	39			28	17			22	17	31	25	31		25	31																62
24	39			40	22	39	40	46	23	39			28	17			23	17	31	25	31		25	31																63
24	40			40	22	40	40	46	23	40			28	18			23	18	31	25	31		25	31																63
24	40			40	22	40	40	46	23	40			28	18			23	18	32	25	32		25	32																64
24	40			41	22	40	41	46	23	40			28	18			23	18	32	25	32		25	32																65
25	40			41	22	40	41	46	23	40			29	18			23	18	32	25	32		25	32																67
25	40			42	22	40	42	48	23	40			29	18			23	18	33	25	33		25	33																70
25	41			42	22	41	42	50	23	41			29	18			24	18	33	25	33		25	33																
25	41			42	22	41	42	50	24	41			29	18			24	18	33	25	33		25	33																
25	41			43	23	41	43	51	24	41			29	18			24	18	33	26	33		26	33																
25	42			43	23	42	43	51	24	42			29	19			24	19	33	26	33		26	33																
25	42			44	23	42	44	51	24	42			29	20			24	20	34	26	34		26	34																
25	42			44	23	42	44	51	24	42			29	20			24	20	34	26	34		26	34																
25	42			45	23	42	45	52	24	42			29	21			24	21	34	26	34		26	34																
25	43			46	23	43	46	53	24	43			29	21			25	21	34	26	34		26	34																
25	43			46	23	43	46	53	24	43			29	21			25	21	34	26	34		26	34																
25	43			46	23	43	46	53	25	43			30	23			25	23	34	27	34		27	34																
25	43			46	23	43	46	53	25	43			31				25		35	27	35		27	35																
25	44			47	23	44	47	53	25	44			31				25		35	27	35		27	35																
25	44			49	23	44	49	53	25	44			31				25		35	27	35		27	35																
26	44			49	23	44	49	54	25	44			31				25		35	27	35		27	35																
26	45			49	24	45	49	54	25	45			32				25		35	27	35		27	35																
26	45			50	24	45	50	54	25	45			32				25		35	27	35		27	35
27	46			51	24	46	51	55	25	46			32				25		36	28	36		28	36
27	46			51	24	46	51	55	25	46			32				26		36	28	36		28	36
27	46			54	24	46	54	55	25	46			33				26		36	28	36		28	36
27	46			57	24	46	57	57	25	46			33				26		36	28	36		28	36
27	46			57	24	46	57	57	25	46			33				26		36	28	36		28	36
27	46			58	24	46	58	58	25	46			34				26		36	28	36		28	36
27	47			58	24	47	58	58	25	47			34				26		36	28	36		28	36
27	47			59	24	47	59	58	25	47			35				27		37	28	37		28	37
28	47			59	25	47	59	58	25	47			35				27		37	28	37		28	37
28	47			59	25	47	59	59	25	47			35				27		37	29	37		29	37
28	47			62	25	47	62	59	25	47			35				27		37	29	37		29	37
28	47			63	25	47	63	59	26	47			35				27		39	29	39		29	39
28	47			64	25	47	64	60	26	47			35				27		40	29	40		29	40
28	47			65	25	47	65	60	26	47			36				28		40	29	40		29	40
28	49			65	25	49	65	60	26	49			36				28		41	29	41		29	41
28	49			67	25	49	67	61	26	49			36				28		41	29	41		29	41
28	49			67	25	49	67	61	26	49			37				28		41	29	41		29	41
29	50			67	25	50	67	61	26	50			37				28		41	29	41		29	41
29	51			68	25	51	68	62	27	51			37				29		41	29	41		29	41
29	51			69	25	51	69	62	27	51			38				29		41	29	41		29	41
29	51			69	25	51	69	62	27	51			38				29		42	30	42		30	42
29	51			71	25	51	71	62	27	51			38				29		42	30	42		30	42
29	52			71	25	52	71	63	27	52			38				29		43	30	43		30	43
29	52			71	25	52	71	63	27	52			40				29		43	30	43		30	43
29	53				25	53		64	27	53			40				29		43	30	43		30	43
29	53				25	53		66	27	53			41				29		43	31	43		31	43
29	54				26	54		66	28	54			42				29		45	31	45		31	45
29	54				26	54		66	28	54			42				30		45	31	45		31	45
29	55				26	55		66	28	55			43				30		46	31	46		31	46
29	55				26	55		66	28	55			45				30		46	31	46		31	46
30	55				26	55		66	28	55			48				30		47	31	47		31	47
30	55				26	55		67	28	55			50				30		47	31	47		31	47
30	56				26	56		67	28	56			51				30		48	32	48		32	48
31	56				27	56		68	28	56			51				31		48	32	48		32	48
31	57				27	57		70	28	57							31		49	32	49		32	49
31	58				27	58		70	28	58							31		50	32	50		32	50
31	59				27	59		70	28	59							31		52	33	52		33	52
31	60				27	60		71	28	60							31		53	33	53		33	53
31	60				27	60		73	28	60							31		53	33	53		33	53
31	61				27	61		73	29	61							31		54	34	54		34	54
31	64				27	64		73	29	64							31		54	34	54		34	54
31	65				27	65		73	29	65							31		55	34	55		34	55
32	69				27	69		74	29	69							31		65	34	65		34	65
32	72				27	72		74	29	72							31		65	34	65		34	65
32					28			74	29								32			35			35	
32					28			74	29								32			35			35	
32					28			75	29								32			35			35	
32					28			75	29								32			35			35
32					28			76	29								33			36			36
33					28			77	29								33			36			36
33					28			77	29								33			37			37
33					28			78	29								33			37			37
33					28			78	30								33			37			37
33					28			79	30								34			38			38
34					28			79	30								34			38			38
34					28			83	31								34			38			38
34					28			83	31								35			38			38
34					29			85	31								35			38			38
35					29			89	31								35			40			40
35					29			89	31								35			40			40
35					29			89	31								35			41			41
35					29			93	31								35			42			42
35					29			94	31								35			42			42
35					29			96	31								35			42			42
35					29				31								35			42			42
36					29				31								36			43			43
36					29				32								36			43			43
36					29				32								36			44			44
37					29				32								36			45			45
37					29				32								37			48			48
37					29				32								37			49			49
37					30				32								37			51			51
38					30				32								37			52			52
38					30				32								37			52			52
38					30				32								38						
38					30				33								38						
38					30				33								38						
38					31				33								39						
40					31				33								40						
40					31				33								41
40					31				33								41
41					31				34								41
42					31				34								42
42					31				34								42
42					31				34								42
43					31				35								43
45					31				35								43
47					31				35								43
48					31				35								43
48					31				35								46
50					32				35								47
51					32				35								48
51					32				35								48
57					32				35								49
					32				35								50
					32				36								50
					32				36								51
					32				36								51
					33				36								52
					33				36								52
					33				37								53
					33				37								55
					33				37								65
					34				37								65
					34				37								
					34				37								
					34				38								
					34				38								
					34				38								
					35				38								
					35				38								
					35				38
					35				38
					35				39
					35				40
					35				40
					36				40
					36				41
					36				41
					37				42
					37				42
					37				42
					37				42
					37				43
					38				45
					38				47
					38				48
					38				48
					38				49
					38				50
					40				51
					40				51
					40				57
					41				57
					41				
					42				
					42				
					42				
					42				
					42				
					43				
					43				
					44				
					45
					47
					48
					48
					49
					50
					51
					51
					52
					52
					57
