Confirmed Load of Data File: YPS163.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line115        0.00010        0.10000        0.00083        0.12739        0.00043        0.11074        0.00160        0.14655        -461.87915     0              
Line116        0.00010        0.10000        0.00063        0.14052        0.00032        0.12275        0.00125        0.16085        -449.24813     0              
Line117        0.00010        0.10000        0.00070        0.14067        0.00034        0.12164        0.00142        0.16267        -452.14773     0              
Line118        0.00010        0.10000        0.00124        0.12251        0.00068        0.10656        0.00225        0.14086        -465.25132     0              
Line119        0.00010        0.10000        0.00073        0.13613        0.00036        0.11736        0.00150        0.15790        -458.64270     0              
Line120        0.00010        0.10000        0.00068        0.13520        0.00035        0.11822        0.00133        0.15463        -451.76103     0              
Line121        0.00010        0.10000        0.00029        0.16346        0.00013        0.14169        0.00067        0.18857        -437.08965     0              
Line122        0.00010        0.10000        0.00060        0.14683        0.00029        0.12724        0.00125        0.16943        -447.06700     0              
Line123        0.00010        0.10000        0.00096        0.12496        0.00050        0.10845        0.00182        0.14398        -463.74069     0              
Line124        0.00010        0.10000        0.00122        0.11875        0.00066        0.10280        0.00225        0.13716        -468.80607     0              
Line125        0.00010        0.10000        0.00062        0.14266        0.00031        0.12475        0.00123        0.16313        -446.73396     0              
Line126        0.00010        0.10000        0.00100        0.12934        0.00052        0.11144        0.00195        0.15011        -461.75234     0              
Line127        0.00010        0.10000        0.00077        0.13321        0.00039        0.11572        0.00151        0.15334        -456.51021     0              
Line128        0.00010        0.10000        0.00100        0.12316        0.00055        0.10753        0.00185        0.14107        -462.91505     0              
Line129        0.00010        0.10000        0.00129        0.12456        0.00070        0.10807        0.00236        0.14357        -461.77495     0              
Line130        0.00010        0.10000        0.00091        0.12971        0.00049        0.11349        0.00169        0.14825        -455.76599     0              
