12	23	15	10	9	24	15	35	25	21	19	9	4	14	24	24	10	24	11	21	35	23	21	25	24	25	8	29	36	26	25	21	8	23	16	24	9	25	14	24
27	12	33	32	9	25	4	9	18	36	22	21	9	36	11	10	25	23	9	9	27	25	15	23	25	24	21	26	18	30	27	23	23	16	23	4	9	4	25	36
32	24	29	23	15	26	32	21	27	9	22	25	24	25	8	26	10	18	23	25	9	24	23	25	23	25	16	23	23	21	8	12	21	24	25	4	23	22	29	33
23	22	23	16	25	11	22	33	11	25	32	23	23	15	9	9	32	23	32	12	32	30	25	32	23	9	24	10	22	25	25	14	24	14	15	32	16	24	21	21
16	23	15	16	11	16	14	25	23	21	23	19	18	10	23	35	25	10	25	24	23	11	27	16	14	25	24	25	14	4	23	29	29	9	27	23	19	23	23	9
18	23	23	32	19	21	23	21	11	9	25	10	10	23	23	22	23	21	15	25	10	22	19	30	15	12	22	10	8	11	32	25	25	27	10	33	24	25	33	24
9	25	23	22	9	23	9	21	23	25	23	26	18	33	11	32	32	18	27	21	30	32	10	33	15	21	30	23	25	33	36	9	22	33	12	19	21	24	18	24
32	25	32	24	35	22	10	9	14	22	26	26	21	23	32	24	33	22	21	21	35	23	23	9	19	14	8	36	4	16	23	10	8	33	23	24	23	9	32	26
25	23	22	22	29	12	16	24	18	27	12	21	9	29	33	9	10	9	9	8	33	25	11	36	32	10	32	21	30	35	15	18	12	21	32	25	29	36	8	23
21	11	9	23	30	23	16	23	33	29	9	25	21	35	27	23	15	24	21	32	22	27	25	32	23	11	21	4	22	25	35	29	23	30	25	18	22	25	10	36
23	25	23	35	32	10	33	33	35	4	12	25	24	14	23	22	24	22	25	33	9	23	30	19	12	36	25	21	29	33	33	10	24	10	14	14	10	24	25	4
10	4	9	27	14	24	9	25	35	23	21	18	25	10	21	11	23	15	23	32	25	32	23	25	36	23	4	24	29	25	24	25	36	23	25	23	25	29	29	23
25	33	32	23	22	25	14	30	26	14	4	32	32	16	32	4	25	24	29	10	24	21	11	16	23	16	25	22	32	12	18	36	18	30	30	21	22	25	15	22
8	11	23	18	15	23	9	21	11	21	22	23	25	14	8	35	21	16	23	29	11	24	22	9	27	23	21	29	25	19	25	30	19	35	26	24	30	9	10	16
12	15	4	23	21	4	23	14	8	10	23	22	4	22	11	9	24	30	21	21	10	10	25	12	21	19	16	10	23	30	23	24	23	16	10	32	23	4	24	23
