"files","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"fob1 hac1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00640068015130176,0.00146385725026297,74.4724224696615,9.25453580638246,6.01537148451665,0.00442190622115255,0.0681051005898345,0.00917133130542935,36.0083333333333,15.5015903476198,"Gomp=3",NA,0.431542301760572,0.0678902095496194,0.00411812856863014,-163.333333333333,330.666666666667,2.57511130164598,40.4367249649351,-166,336
"fob1 hap4 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00496827352271901,0.00269259996091217,107.381788901743,21.7998139820291,6.78874709066582,0.68319600714127,0.0561319028441144,0.0166400623733888,44.675,20.5552881853652,"Gomp=3",NA,0.463037073987047,0.0479474785097589,0.0043154473083569,-174.766666666667,353.333333333333,2.41417757519626,50.3272177308194,-176.233333333333,356.666666666667
"fob1 hap4_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00280533475454729,0.000439255969935868,61.3039511278314,6.69913395113743,7.69392548363154,0.290085367217684,0.109828580294636,0.00911236401643892,35.4041666666667,11.6513523585592,"Weib=3",NA,0.329067986591909,0.0820956267342587,0.00308448571713999,-312.7,629.333333333333,3.3974456122921,39.4524793816293,-308.6,621.333333333333
"fob1 hst1 hst2 hst3 hst4 sir2_MATalpha_temp30_media_0.05% D_n42.csv",42,0.075331339766283,0.00950066380546415,69.6246135684862,8.25612670635669,6.5331920662933,0.113393522686976,0.0803070368928251,0.0105700215177291,7.92857142857143,5.86007397271593,"<2=3",NA,0.740048248929579,0.0724486284530676,0.0764311668402613,-126,255.666666666667,1.37609961042367,8.69416260839033,-125.966666666667,256
"fob1 hst1 hst2 hst4 sir2_MATalpha_temp30_media_0.05% D_n160.csv",160,0.00449467142718484,0.000276755405847097,80.8010400398455,1.47756971744521,7.77711285888196,0.0288454826178009,0.0838969270955302,0.00187642727692757,34.3083333333333,14.2337412990329,"Gomp=1:Weib=2",NA,0.414871837884361,0.0617910741692053,0.00552822963489124,-652.6,1309.33333333333,2.62080067164476,38.6141590090047,-649.466666666667,1302.66666666667
"fob1 hst1 hst2 sir2_MATalpha_temp30_media_0.005% D_n40.csv",40,0.00314546289906243,7.98624574902275e-05,77.5340130401003,1.00055945957117,7.1118418549757,0.0803121528523814,0.0788329900910238,0.00112088443911253,41.7333333333333,18.1981025379676,"Gomp=3",NA,0.436165653934236,0.0644488279090656,0.00276686791671492,-168.066666666667,340.333333333333,2.54897741120233,46.9093116641595,-172.7,349.666666666667
"fob1 hst1 hst2 sir2_MATalpha_temp30_media_0.05% D_n138.csv",138,0.00311148724141657,0.000228309314393289,74.0644028601405,3.64386263525454,7.72278173441366,0.031534604145563,0.0909036141608326,0.00410737839921738,38.3381642512077,13.5895292669948,"Weib=3",NA,0.354430055607629,0.0674563725498143,0.00353344810849685,-560.666666666667,1125.33333333333,3.122952410051,42.9111018907701,-553.7,1111.66666666667
"fob1 hst1 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.00633167506508427,0.00123069002409,97.0374603311508,6.41277311103744,7.60556709621476,0.0362353569625442,0.0682931134930801,0.00501515383648831,33.9433333333333,15.0301748147751,"Weib=3",NA,0.443507044828439,0.0516431984584149,0.00748627695823152,-415.2,834.666666666667,2.45189665782708,38.4064379265137,-407.966666666667,820
"fob1 hst2 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00235661858011557,0.000855692453432079,58.0697381545182,11.3172098747902,6.01929683900581,0.00216064837126382,0.0884485336613142,0.0154939951224436,47.85,13.893859087418,"<2=1:Gomp=2",NA,0.290715874934502,0.0881073281531669,0.000876675113398855,-158.933333333333,322,4.26012162292511,52.754128694901,-160.2,324.333333333333
"fob1 hst3 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.016260567455818,0.00322940651397506,147.736051641614,26.2100436726487,6.24328257058187,0.417200535490173,0.0358758897798514,0.00328633293548785,28.9166666666667,18.414243188564,"<2=1:Gomp=2",NA,0.638811928767764,0.0345038061544109,0.0152633271695167,-168.166666666667,340,1.61036424316867,32.2922697181464,-168.833333333333,341.666666666667
