27	36	31	31	39	41	27	28	24	42	40	44	43	24	46	31	34	34	43	34	37	18	27	31	44	41	37	44	36	29	18	34	37	46	28	39	31	37	39	28	19	48	45	42	35	39	45	36	36	34	36	40	15	15	34	37	26	15	24	44	44	45	23	44	40	38	29	19	40	25	40	41	35	28	29	31	26	39	25	44	42	18	45	39	32	45	41	47	27	37	15	43	35	32	23	26	32	32	38	44	37	14	38	28	45	41	36	34	30	34	40	24	15	11	40	31	24	31	35	25	28	34	32	39	38	47	39	26	37	28
35	31	45	47	38	15	34	38	32	24	25	33	33	37	46	35	37	28	40	34	37	36	36	40	39	39	25	25	24	18	39	35	46	35	47	43	31	18	46	28	49	40	36	25	41	47	32	24	39	49	45	35	43	36	41	45	39	42	20	36	40	39	41	39	36	14	46	36	42	32	35	24	30	40	41	49	37	15	23	37	41	38	18	25	41	40	39	44	36	47	42	34	46	39	47	15	28	39	20	33	15	25	35	47	43	40	34	24	44	32	47	39	30	11	24	24	41	38	32	40	40	24	18	26	35	25	37	36	26	36
40	44	44	37	45	36	35	36	42	45	39	29	40	36	37	43	30	15	39	14	40	45	37	37	24	19	40	43	18	31	30	45	34	34	34	27	37	44	55	23	29	28	35	38	28	44	39	37	28	42	44	37	24	31	40	41	45	40	44	15	28	40	36	34	33	39	40	28	18	40	40	43	32	44	39	47	38	44	40	34	37	37	39	36	19	55	44	35	40	40	39	44	37	27	42	29	29	44	11	39	25	35	39	39	31	30	28	34	39	25	42	34	39	37	39	37	30	28	24	44	33	39	20	36	32	27	39	29	41	36
35	47	40	41	39	34	15	46	36	42	42	37	29	34	27	34	37	24	32	39	32	48	23	45	19	39	25	41	30	18	28	34	28	34	37	39	24	28	40	36	30	44	18	42	43	41	43	40	39	15	23	43	39	32	18	39	36	45	29	38	19	44	31	24	14	30	42	55	34	40	40	34	26	41	45	42	27	39	41	47	29	18	48	41	24	30	37	55	36	36	15	37	36	47	35	46	37	40	23	24	42	25	23	44	36	38	28	38	24	35	15	40	24	44	37	32	35	34	34	55	14	30	44	26	25	18	38	46	39	40
39	26	36	11	15	36	39	34	23	32	31	39	15	49	42	39	40	34	23	18	37	23	29	23	24	24	37	40	28	34	23	44	30	40	48	25	24	24	48	39	44	38	40	39	34	43	15	34	44	38	37	34	37	30	41	28	38	37	42	38	41	31	23	31	29	15	26	40	36	24	36	23	55	15	40	47	37	55	34	39	41	34	20	34	23	39	42	47	46	42	28	25	37	32	25	37	39	39	44	28	32	40	47	38	37	44	34	32	40	35	24	33	11	44	34	39	46	40	43	23	39	42	25	20	42	23	23	43	45	34
45	41	33	34	45	15	33	34	35	29	27	31	44	27	11	35	24	37	39	38	26	35	25	31	26	38	41	41	43	34	31	30	24	32	38	24	40	29	32	40	40	34	32	44	23	42	29	42	20	42	20	36	36	39	40	35	14	39	37	39	37	37	37	35	26	28	18	30	38	34	39	11	45	38	41	30	40	40	34	45	32	40	29	33	42	28	45	14	39	24	35	32	40	25	35	23	47	35	39	18	40	42	42	36	39	40	55	20	44	25	47	35	45	34	36	34	35	40	37	25	39	33	26	30	29	34	32	40	44	35
26	33	19	40	36	26	14	23	15	47	45	37	30	24	25	24	24	18	24	20	34	40	27	39	44	44	39	37	45	47	36	33	46	45	43	37	36	44	39	28	38	33	35	39	29	40	45	47	34	33	28	18	40	28	35	35	31	38	35	39	40	23	42	38	34	25	32	19	26	24	23	39	37	35	18	26	32	31	40	34	15	39	45	24	36	55	41	35	42	43	46	25	34	41	34	40	40	32	36	37	36	45	37	37	23	47	36	23	34	39	42	36	34	38	27	44	39	14	25	37	36	46	48	42	47	39	14	35	34	37
25	37	36	20	41	37	34	25	37	37	44	40	40	30	34	28	38	29	33	15	42	47	20	37	27	31	23	36	37	55	34	32	40	46	37	24	28	41	36	31	35	40	28	36	46	34	37	23	23	32	24	35	18	37	34	45	39	35	29	34	39	20	15	31	25	26	47	46	37	30	36	44	44	37	15	42	42	37	44	34	37	14	44	33	39	40	36	40	36	44	34	14	38	24	49	37	35	29	18	14	36	42	38	40	38	44	34	32	36	43	14	24	42	39	38	35	18	40	39	41	35	23	14	14	24	34	40	40	30	32
27	36	37	31	40	18	28	36	43	31	34	49	26	36	38	45	40	43	14	25	45	37	19	44	28	30	40	18	27	40	23	37	37	32	34	26	41	40	36	46	28	30	37	15	39	39	37	42	33	40	45	40	38	36	28	37	43	29	15	36	44	36	55	34	39	31	44	35	28	25	34	39	26	26	24	43	37	37	40	19	39	35	18	18	45	44	39	37	40	36	35	23	38	46	31	39	28	18	42	23	29	34	44	24	24	45	40	39	44	47	43	29	18	25	38	41	32	37	46	29	32	41	30	37	32	44	28	39	39	40
37	32	28	39	27	36	26	24	55	37	27	35	40	40	24	35	35	44	25	39	35	44	35	34	32	35	20	40	47	45	43	24	39	39	41	36	41	31	55	41	44	40	39	41	36	39	30	24	49	18	37	40	32	39	37	40	36	40	25	44	32	42	18	38	37	39	36	47	44	20	25	39	33	37	39	45	35	41	25	29	36	37	35	23	39	47	35	39	18	32	36	40	34	18	32	37	33	37	41	44	34	35	29	30	45	35	35	23	31	40	42	44	33	39	40	29	39	30	19	38	24	32	29	42	35	42	23	41	36	28
49	26	43	36	45	41	39	42	35	45	25	45	23	36	32	36	24	37	44	14	30	40	14	29	14	30	33	43	30	39	39	38	34	35	27	40	31	32	39	35	44	37	41	47	36	23	23	39	25	29	44	41	37	41	40	40	45	40	36	25	44	39	39	42	36	15	41	36	28	35	55	44	15	15	42	33	15	32	46	39	23	45	41	47	34	32	35	34	39	38	32	40	34	49	27	40	38	11	40	25	35	40	44	39	15	46	25	32	24	32	14	32	39	35	37	33	36	11	26	34	36	40	37	27	29	25	30	39	35	37
15	24	35	48	37	24	45	18	23	39	33	37	37	43	55	47	34	37	39	37	27	28	37	34	24	40	46	39	24	36	15	27	34	37	40	33	42	37	44	42	24	34	40	44	42	27	39	39	35	37	45	30	44	47	23	46	29	29	25	28	28	32	31	36	43	34	34	38	42	40	31	40	27	41	36	18	44	38	34	38	30	24	24	14	37	49	39	24	45	41	38	27	32	24	36	27	30	55	24	14	14	39	15	36	33	39	14	42	42	41	40	26	34	27	14	44	35	15	43	37	39	42	45	11	29	31	45	29	32	36
