"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YBL025W","RRN10","verified1","nogrowth1","RRN10","verified2","nogrowth2","TRUE","essential",20,1
"YBL026W","LSM2","verified1","nogrowth1","LSM2","verified2","nogrowth2","TRUE","essential",21,1
"YBL027W","RPL19B","verified1","growth1","RPL19B","verified2","growth2","TRUE","nonessential",1248,0
"YBL028C","YBL028C","verified1","growth1","YBL028C","verified2","growth2","TRUE","nonessential",1249,0
"YBL029W","YBL029W","verified1","growth1","YBL029W","verified2","growth2","TRUE","nonessential",1250,0
"YBL030C","pet9","verified1","growth1","pet9","verified2","growth2","TRUE","nonessential",1251,0
"YBL031W","SHE1","verified1","growth1","SHE1","verified2","growth2","TRUE","nonessential",1252,0
"YBL032W","YBL032W","verified1","growth1","YBL032W","verified2","growth2","TRUE","nonessential",1253,0
"YBL033C","rib1","verified1","growth1","rib1","verified2","growth2","TRUE","nonessential",1254,0
"YBL034C","STU1","verified1","nogrowth1","STU1","verified2","growth2","TRUE","abnormal",1255,0
"YBL035C","POL12","verified1","nogrowth1","POL12","verified2","nogrowth2","TRUE","essential",22,1
"YBL036C","YBL036C","verified1","growth1","YBL036C","verified2","growth2","TRUE","nonessential",1256,0
"YBL037W","APL3","verified1","growth1","APL3","verified2","growth2","TRUE","nonessential",1257,0
"YBL038W","MRPL16","verified1","growth1","MRPL16","verified2","growth2","TRUE","nonessential",1258,0
"YBL039C","URA7","verified1","growth1","URA7","verified2","growth2","TRUE","nonessential",1259,0
"YBL040C","ERD2","verified1","nogrowth1","ERD2","verified2","nogrowth2","TRUE","essential",23,1
"YBL041W","PRE7","verified1","nogrowth1","PRE7","verified2","nogrowth2","TRUE","essential",24,1
"YBL042C","FUI1","verified1","growth1","FUI1","verified2","growth2","TRUE","nonessential",1260,0
"YBL043W","ECM13","verified1","growth1","ECM13","verified2","growth2","TRUE","nonessential",1261,0
