"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"109","YBL018C","POP8","verified1","nogrowth1","POP8","verified2","nogrowth2",TRUE,"essential"
"110","YBL019W","APN2","verified1","growth1","APN2","verified2","growth2",TRUE,"nonessential"
"111","YBL020W","rft1","verified1","nogrowth1","rft1","verified2","nogrowth2",TRUE,"essential"
"112","YBL021C","HAP3","verified1","growth1","HAP3","verified2","growth2",TRUE,"nonessential"
"113","YBL022C","PIM1","verified1","growth1","PIM1","verified2","growth2",TRUE,"nonessential"
"114","YBL023C","mcm2","verified1","nogrowth1","mcm2","verified2","nogrowth2",TRUE,"essential"
"115","YBL024W","NCL1","verified1","growth1","NCL1","verified2","growth2",TRUE,"nonessential"
"116","YBL025W","RRN10","verified1","nogrowth1","RRN10","verified2","nogrowth2",TRUE,"essential"
"117","YBL026W","LSM2","verified1","nogrowth1","LSM2","verified2","nogrowth2",TRUE,"essential"
"118","YBL027W","RPL19B","verified1","growth1","RPL19B","verified2","growth2",TRUE,"nonessential"
"119","YBL028C","YBL028C","verified1","growth1","YBL028C","verified2","growth2",TRUE,"nonessential"
"120","YBL029W","YBL029W","verified1","growth1","YBL029W","verified2","growth2",TRUE,"nonessential"
"121","YBL030C","pet9","verified1","growth1","pet9","verified2","growth2",TRUE,"nonessential"
"122","YBL031W","SHE1","verified1","growth1","SHE1","verified2","growth2",TRUE,"nonessential"
"123","YBL032W","YBL032W","verified1","growth1","YBL032W","verified2","growth2",TRUE,"nonessential"
"124","YBL033C","rib1","verified1","growth1","rib1","verified2","growth2",TRUE,"nonessential"
"125","YBL034C","STU1","verified1","nogrowth1","STU1","verified2","growth2",TRUE,"abnormal"
"126","YBL035C","POL12","verified1","nogrowth1","POL12","verified2","nogrowth2",TRUE,"essential"
"127","YBL036C","YBL036C","verified1","growth1","YBL036C","verified2","growth2",TRUE,"nonessential"
"128","YBL037W","APL3","verified1","growth1","APL3","verified2","growth2",TRUE,"nonessential"
"129","YBL038W","MRPL16","verified1","growth1","MRPL16","verified2","growth2",TRUE,"nonessential"
"130","YBL039C","URA7","verified1","growth1","URA7","verified2","growth2",TRUE,"nonessential"
"131","YBL040C","ERD2","verified1","nogrowth1","ERD2","verified2","nogrowth2",TRUE,"essential"
"132","YBL041W","PRE7","verified1","nogrowth1","PRE7","verified2","nogrowth2",TRUE,"essential"
"133","YBL042C","FUI1","verified1","growth1","FUI1","verified2","growth2",TRUE,"nonessential"
"134","YBL043W","ECM13","verified1","growth1","ECM13","verified2","growth2",TRUE,"nonessential"
"135","YBL044W","YBL044W","verified1","growth1","YBL044W","verified2","growth2",TRUE,"nonessential"
"136","YBL045C","COR1","verified1","growth1","COR1","verified2","growth2",TRUE,"nonessential"
"137","YBL046W","YBL046W","verified1","growth1","YBL046W","verified2","growth2",TRUE,"nonessential"
"138","YBL047C","YBL047C","verified1","growth1","YBL047C","verified2","growth2",TRUE,"nonessential"
"139","YBL048W","YBL048W","verified1","growth1","YBL048W","verified2","growth2",TRUE,"nonessential"
"140","YBL049W","YBL049W","verified1","growth1","YBL049W","verified2","growth2",TRUE,"nonessential"
"141","YBL050W","SEC17","verified1","nogrowth1","SEC17","verified2","nogrowth2",TRUE,"essential"
"142","YBL051C","YBL051C","verified1","growth1","YBL051C","verified2","growth2",TRUE,"nonessential"
"143","YBL052C","SAS3","verified1","growth1","SAS3","verified2","growth2",TRUE,"nonessential"
"144","YBL053W","YBL053W","verified1","growth1","YBL053W","verified2","growth2",TRUE,"nonessential"
"145","YBL054W","YBL054W","verified1","growth1","YBL054W","verified2","growth2",TRUE,"nonessential"
"146","YBL055C","YBL055C","verified1","growth1","YBL055C","verified2","growth2",TRUE,"nonessential"
"147","YBL056W","PTC3","verified1","growth1","PTC3","verified2","growth2",TRUE,"nonessential"
"148","YBL057C","YBL057C","verified1","growth1","YBL057C","verified2","growth2",TRUE,"nonessential"
"149","YBL058W","SHP1","verified1","growth1","SHP1","verified2","growth2",TRUE,"nonessential"
"150","YBL059W","YBL059W","verified1","growth1","YBL059W","verified2","growth2",TRUE,"nonessential"
"151","YBL060W","YBL060W","verified1","growth1","YBL060W","verified2","growth2",TRUE,"nonessential"
"152","YBL061C","SKT5","verified1","growth1","SKT5","verified2","growth2",TRUE,"nonessential"
"153","YBL062W","YBL062W","verified1","growth1","YBL062W","verified2","growth2",TRUE,"nonessential"
"154","YBL063W","KIP1","verified1","growth1","KIP1","verified2","growth2",TRUE,"nonessential"
"155","YBL064C","YBL064C","verified1","growth1","YBL064C","verified2","growth2",TRUE,"nonessential"
"156","YBL065W","YBL065W","verified1","growth1","YBL065W","verified2","growth2",TRUE,"nonessential"
"157","YBL066C","SEF1","verified1","growth1","SEF1","verified2","growth2",TRUE,"nonessential"
"158","YBL067C","UBP13","verified1","growth1","UBP13","verified2","growth2",TRUE,"nonessential"
"159","YBL068W","PRS4","verified1","growth1","PRS4","verified2","growth2",TRUE,"nonessential"
"160","YBL069W","AST1","verified1","growth1","AST1","verified2","growth2",TRUE,"nonessential"
"161","YBL070C","YBL070C","verified1","growth1","YBL070C","verified2","growth2",TRUE,"nonessential"
"162","YBL071C","YBL071C","verified1","growth1","YBL071C","verified2","growth2",TRUE,"nonessential"
"163","YBL072C","RPS8A","verified1","growth1","RPS8A","verified2","growth2",TRUE,"nonessential"
"164","YBL073W","YBL073W","verified1","nogrowth1","YBL073W","verified2","nogrowth2",TRUE,"essential"
"165","YBL074C","aar2","verified1","nogrowth1","aar2","verified2","nogrowth2",TRUE,"essential"
"166","YBL075C","SSA3","questionable1","growth1","SSA3","verified2","growth2",TRUE,"nonessential"
"167","YBL076C","ils1","verified1","nogrowth1","ils1","verified2","nogrowth2",TRUE,"essential"
"168","YBL077W","YBL077W","verified1","nogrowth1","YBL077W","verified2","nogrowth2",TRUE,"essential"
"169","YBL078C","AUT7","verified1","growth1","AUT7","verified2","growth2",TRUE,"nonessential"
"170","YBL079W","NUP170","verified1","growth1","NUP170","verified2","growth2",TRUE,"nonessential"
"171","YBL080C","PET112","verified1","growth1","PET112","verified2","growth2",TRUE,"nonessential"
"172","YBL081W","YBL081W","verified1","growth1","YBL081W","verified2","growth2",TRUE,"nonessential"
"173","YBL082C","RHK1","verified1","growth1","RHK1","verified2","growth2",TRUE,"nonessential"
"174","YBL083C","YBL083C","verified1","growth1","YBL083C","verified2","growth2",TRUE,"nonessential"
"175","YBL084C","cdc27","verified1","nogrowth1","cdc27","verified2","nogrowth2",TRUE,"essential"
"176","YBL085W","BOI1","verified1","growth1","BOI1","verified2","growth2",TRUE,"nonessential"
"177","YBL086C","YBL086C","verified1","growth1","YBL086C","verified2","growth2",TRUE,"nonessential"
"178","YBL087C","RPL23A","verified1","growth1","RPL23A","verified2","growth2",TRUE,"nonessential"
"179","YBL088C","tel1","verified1","growth1","tel1","verified2","growth2",TRUE,"nonessential"
