gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
YIL091C	YIL091C	4	52	1.99111	1.00111	0.03296	0.98908	0.97388	1.00684	0.99149	0.99867	0.99083
YIL092W	YIL092W	6	78	0.49737	0.10952	0.01384	1.00585	1.00246	1.01459	1.00796	1.01630	1.00360
RSM25	YIL093C	4	51	37.10026	13.45781	0.16049	0.99685	0.91517	1.02325	0.99044	0.86276	0.90048
LYS12	YIL094C	2	22	7.22722	2.80985	0.04725	1.00117	0.98676	0.98281	0.96854	0.95392	0.96488
PRK1	YIL095W	4	52	7.99335	4.63807	0.05333	0.99578	0.98335	1.00692	0.97187	0.95359	1.00645
YIL096C	YIL096C	4	52	2.03832	1.03272	0.04782	0.96456	0.98465	0.96742	0.95356	0.95633	1.00138
YIL097W	YIL097W	4	52	1.54760	0.70783	0.01971	0.98273	0.96915	0.98808	0.96838	0.97430	0.98493
FMC1	YIL098C	2	26	72.83467	10.57898	0.10684	0.97790	1.03019	1.00573	0.93357	1.00820	1.04041
sga1	YIL099W	4	52	1.24096	0.51241	0.01692	1.00039	0.99750	1.01245	0.99553	1.00279	1.00342
YIL100W	YIL100W	4	52	1.15042	0.45669	0.02170	0.99096	0.99899	1.00680	0.99580	1.00071	1.01266
XBP1	YIL101C	4	50	1.84620	0.90038	0.03452	0.99579	0.99446	1.00278	0.99630	0.98700	1.02152
YIL102C	YIL102C	4	52	11.12636	6.14015	0.06937	0.92469	0.96832	0.92884	0.89896	0.93954	0.96574
YIL103W	YIL103W	4	52	0.41168	0.07678	0.00710	0.99374	0.99808	0.99651	0.99178	0.99887	0.99334
YIL104C	YIL104C	2	26	3.94373	1.86412	0.02259	0.98433	0.99118	1.00420	0.98161	0.99602	0.98174
YIL105C	YIL105C	2	26	2.88307	1.35681	0.03017	0.97714	1.00376	0.99092	0.99409	1.00731	0.98832
MOB1	YIL106W	4	52	1.07951	0.41390	0.01531	0.99385	0.97978	0.98311	0.97854	0.98215	0.98052
PFK26	YIL107C	3	39	0.85062	0.27971	0.02450	0.99799	1.00566	0.98116	1.00002	0.98369	0.98678
YIL108W	YIL108W	2	26	2.32522	1.06875	0.02804	1.00575	0.99288	1.00451	1.00172	0.97771	0.98899
SEC24	YIL109C	2	26	10.19796	4.03368	0.04220	0.99541	0.95916	1.00136	0.99156	0.97417	0.96958
YIL110W	YIL110W	2	26	16.66956	5.47615	0.11598	0.98642	1.04929	1.00317	0.97854	1.03424	1.09453
COX5b	YIL111W	4	52	4.37661	2.57006	0.03846	0.99051	0.99269	1.00322	0.97215	0.97586	1.01060
YIL112W	YIL112W	4	52	7.16986	4.20181	0.03397	1.00699	1.00800	1.00768	0.97403	0.98811	0.98990
YIL113W	YIL113W	2	26	3.81957	1.80746	0.03560	1.01213	1.00574	1.02012	0.98452	0.98626	1.00129
POR2	YIL114C	2	26	5.56217	2.54293	0.01742	0.99160	0.99339	0.98888	0.98532	0.97700	0.97596
NUP159	YIL115C	2	26	4.73585	2.20964	0.02528	1.00381	0.98647	1.00458	0.98731	0.97930	0.99141
his5	YIL116W	4	52	3.32535	1.89307	0.03300	0.99511	0.98625	0.99925	1.01209	0.99053	1.01925
PRM5	YIL117C	2	26	5.44652	2.49783	0.05115	1.00099	0.99006	1.00999	0.95947	0.95884	0.99005
RHO3	YIL118W	2	26	16.68466	5.47897	0.05503	0.99608	0.98392	1.00364	0.96805	0.94862	0.99365
RPI1	YIL119C	4	52	6.09960	3.60534	0.03740	1.00769	0.97674	1.00543	0.99208	0.97350	1.01090
QDR1	YIL120W	4	52	2.97463	1.66074	0.02683	1.00344	0.98708	0.99410	0.97660	0.97945	1.00038
YIL121W	YIL121W	4	52	2.08837	1.06626	0.02124	1.00561	0.98437	1.00525	1.00213	0.99007	0.99411
YIL122W	YIL122W	4	52	1.12631	0.44205	0.01278	1.00181	0.99992	1.00203	0.98961	0.99813	1.00239
SIM1	YIL123W	4	52	7.34166	4.29440	0.02528	0.98310	0.97679	1.00201	0.98492	0.97673	1.00190
AYR1	YIL124W	4	52	17.36519	8.56734	0.04798	0.99530	0.99379	1.01099	0.97364	0.96300	0.98990
kgd1	YIL125W	4	52	2.64354	1.43932	0.03272	0.99436	0.97413	1.00685	0.98892	0.99070	0.99963
STH1	YIL126W	2	26	2.80640	1.31807	0.05580	0.99565	0.96981	0.96852	0.97347	0.93985	0.97210
MET18	YIL128W	2	26	6.01697	2.71571	0.06138	1.00101	0.95691	0.98405	0.94978	0.93964	0.97399
TAO3	YIL129C	4	52	3.81378	2.21158	0.02658	1.01834	1.00717	1.01932	0.99796	0.99274	0.99764
YIL130W	YIL130W	4	52	3.20105	1.81104	0.02313	1.00915	0.98895	1.00550	0.98603	0.99455	0.99829
FKH1	YIL131C	2	25	9.81333	3.82182	0.08076	0.98347	0.95542	0.97115	0.99452	0.97568	1.03619
YIL132C	YIL132C	2	26	15.44874	5.24133	0.03343	1.00252	0.99991	1.00640	0.98954	0.98356	0.97297
rpl16A	YIL133C	3	39	3.83739	2.07983	0.04380	0.97860	0.96724	0.97999	0.97050	0.98718	1.01104
FLX1	YIL134W	2	26	1.95380	0.86974	0.01494	0.98959	0.98468	0.99148	0.97654	0.98039	0.97947
YIL135C	YIL135C	4	52	0.80014	0.25500	0.01468	0.99636	0.99640	1.00420	0.99649	0.98952	1.00416
OM45	YIL136W	2	26	7.52459	3.24169	0.03039	1.02369	1.00426	1.02637	1.00097	0.99598	1.02517
YIL137C	YIL137C	4	52	2.68204	1.46515	0.02286	0.99678	0.99058	0.99465	1.00175	0.99070	1.01344
TPM2	YIL138C	4	52	2.48918	1.33565	0.03976	0.98149	0.97699	0.98099	0.99390	0.98465	1.01675
rev7	YIL139C	0	0									
AXL2	YIL140W	4	52	2.60320	1.41225	0.02532	0.99898	0.97818	0.99648	0.98951	0.97548	1.00080
YIL141W	YIL141W	2	26	3.18396	1.50615	0.02427	0.99179	0.97983	0.97708	1.00135	0.98152	0.99192
CCT2	YIL142W	2	26	51.39159	9.30337	0.10158	0.88464	0.97266	0.88392	0.87108	0.92549	0.96251
SSL2	YIL143C	0	0									
TID3	YIL144W	2	26	23.39840	6.56644	0.09406	0.98310	1.01771	0.98526	0.97413	1.02519	1.06818
YIL145C	YIL145C	2	26	1.72867	0.74703	0.02981	1.01089	0.98826	1.00290	1.00325	0.98108	0.99087
ECM37	YIL146C	4	52	2.03918	1.03330	0.01865	0.98830	0.98257	1.00067	0.98747	0.98201	0.99980
SLN1	YIL147C	2	26	8.05000	3.41014	0.04162	1.00481	0.97066	0.99353	0.97525	0.96319	0.96554
RPL40A	YIL148W	2	26	24.51736	6.72165	0.10079	0.89664	0.95387	0.89164	0.90164	0.94683	0.99243
MLP2	YIL149C	2	26	3.08894	1.45945	0.04034	1.00864	0.96829	0.98951	1.00724	0.98558	0.97677
DNA43	YIL150C	2	26	20.64653	6.15640	0.08502	1.00424	1.03655	1.01595	0.96876	1.03262	1.05378
YIL152W	YIL152W	4	52	12.47698	6.72144	0.04021	1.01089	0.98310	1.00059	0.98079	0.97536	0.97068
RRD1	YIL153W	3	37	3.02314	1.57884	0.03469	1.00276	0.98045	1.00055	0.97396	0.96808	0.98311
IMP2	YIL154C	2	26	5.10502	2.36178	0.03280	1.01694	1.00226	1.02097	1.00357	0.99274	0.98817
gut2	YIL155C	4	52	9.00638	5.14967	0.02940	0.99214	0.96795	0.98919	0.96450	0.96477	0.96274
UBP7	YIL156W	2	26	13.34017	4.79961	0.03861	1.01520	0.98997	1.01202	0.99756	0.97660	0.98733
YIL157C	YIL157C	4	52	2.27680	1.19283	0.02025	1.00233	0.99035	1.01060	1.00945	1.00488	1.01000
YIL158W	YIL158W	2	26	2.41870	1.11799	0.01612	0.99035	0.99782	0.99896	0.98284	0.98497	0.98950
BNR1	YIL159W	4	52	5.73708	3.39536	0.03182	1.00386	0.97204	0.99303	0.98829	0.97435	0.99340
pot1	YIL160C	4	42	1.55843	0.69895	0.02479	1.00852	1.00965	1.00334	0.98486	0.98908	0.99408
YIL161W	YIL161W	4	52	2.27944	1.19461	0.03034	0.98825	0.98082	0.99473	0.96688	0.96438	0.97183
SUC2	YIL162W	4	52	14.99738	7.71862	0.07163	1.00428	0.94413	1.00832	0.97529	0.93669	0.95402
YIL163C	YIL163C	3	39	2.68329	1.39319	0.03059	1.00256	0.98082	0.98810	1.01141	0.99003	1.00638
NIT1	YIL164C	4	52	5.79719	3.43046	0.03899	1.00037	0.97999	1.00152	0.98304	0.96253	0.97388
YIL165C	YIL165C	4	52	3.42039	1.95554	0.02881	0.99474	0.97656	1.00499	0.98780	0.97618	0.98532
YIL166C	YIL166C	3	39	1.31450	0.54591	0.02976	0.98374	0.97270	0.99252	0.97843	0.97756	1.00246
YIL167W	YIL167W	4	52	1.35694	0.58526	0.02296	0.99250	0.99201	1.01334	0.99704	0.99038	1.00772
SDL1	YIL168W	4	52	4.03142	2.35134	0.03131	1.00939	0.98926	1.00796	1.01090	0.97960	0.99889
HXT12	YIL170W	4	50	5.84234	3.41530	0.05143	1.00452	0.96218	1.00440	0.99149	0.96267	0.95309
HXT12	YIL171W	4	52	2.20515	1.14467	0.03248	1.00585	0.97579	0.99073	0.98629	0.97337	0.98906
VTH1	YIL173W	4	52	0.66147	0.18402	0.01220	0.99574	0.98695	0.99728	0.99487	0.98508	0.99695
SGN1	YIR001C	2	26	7.01041	3.06979	0.04448	0.99155	0.95784	0.99604	0.97041	0.95866	0.95156
MPH1	YIR002C	4	52	6.71410	3.95201	0.03212	0.99994	0.96820	0.99367	0.96831	0.96782	0.96985
YIR003W	YIR003W	2	26	2.27988	1.04474	0.03951	1.00897	0.97351	1.00293	0.98507	0.96946	0.98728
DJP1	YIR004W	4	52	1.16089	0.46307	0.02022	1.00027	0.99439	1.01461	1.00654	1.00893	0.99965
IST3	YIR005W	4	52	3.64309	2.10101	0.02885	1.00255	0.98379	1.00706	0.98575	0.97821	0.98255
PAN1	YIR006C	2	26	17.56988	5.64077	0.07547	0.98829	0.95709	1.01644	0.95267	0.94097	0.97990
YIR007W	YIR007W	4	52	1.31021	0.55573	0.02116	1.00882	0.99362	1.00701	1.00288	0.98766	1.00311
PRI1	YIR008C	4	52	1.73862	0.83312	0.02081	1.00296	0.98759	1.00110	0.98219	0.98215	0.99595
MSL1	YIR009W	4	52	6.20648	3.66647	0.03558	1.00977	0.97420	1.00517	0.98225	0.97568	0.98658
YIR010W	YIR010W	2	26	4.91853	2.28560	0.03002	1.00988	0.99393	1.01526	0.99960	0.99875	0.98524
STS1	YIR011C	4	52	5.37487	3.18141	0.04519	1.00931	0.96412	0.99616	0.98426	0.96426	0.98803
SQT1	YIR012W	3	39	1.09052	0.41356	0.01915	1.00787	0.98916	1.00831	0.99197	0.99457	1.00410
GAT4	YIR013C	4	52	2.41539	1.28604	0.01911	0.98664	0.99132	0.99542	0.98135	0.99434	0.97631
YIR014W	YIR014W	4	52	1.28500	0.53989	0.01788	0.99071	0.98148	0.99658	0.99437	0.98426	0.99936
RPR2	YIR015W	4	52	9.36989	5.32690	0.04289	0.98185	0.99166	0.98073	1.01713	1.00591	1.02363
YIR016W	YIR016W	4	52	1.67730	0.79269	0.02534	0.98268	0.97670	0.99918	0.97384	0.97975	0.98300
MET28	YIR017C	4	52	4.25248	2.49183	0.05718	1.01889	1.04622	1.00052	1.03722	1.05666	1.05770
YAP5	YIR018W	4	52	4.09547	2.39220	0.04948	1.03689	1.02242	1.00033	1.02650	1.00670	0.98741
MUC1	YIR019C	4	52	5.65531	3.34742	0.03960	1.03695	1.03468	1.01041	1.01807	1.03738	0.99777
YIR020C	YIR020C	4	52	1.75335	0.84286	0.03134	1.03008	1.01691	1.01781	1.00868	1.01725	0.99874
YIR020W-B	YIR020W-B	2	26	0.43402	0.08674	0.02510	1.04325	1.03794	1.03260	1.04509	1.03051	1.01999
mrs1	YIR021W	2	26	6.91049	3.03552	0.04846	1.03642	1.01409	0.99986	1.02987	1.01878	0.98796
sec11	YIR022W	2	26	2.17805	0.99050	0.06303	1.02177	1.06536	1.02253	1.00233	1.05431	1.03888
dal81	YIR023W	4	52	2.82423	1.56037	0.03358	1.03475	1.03807	1.01449	1.03920	1.03805	1.00562
GIF1	YIR024C	4	52	1.51428	0.68620	0.03405	1.03282	1.01877	1.00902	1.00122	0.99876	1.00560
YIR025W	YIR025W	1	13	1.19508	0.38648	0.07461	1.01830	1.05682	1.04788	0.99160	1.03131	1.06620
yvh1	YIR026C	4	52	3.82593	2.21942	0.03285	1.03472	1.01638	1.02066	1.04383	1.02109	1.01098
dal1	YIR027C	4	52	4.93566	2.91636	0.05030	1.02790	1.05648	1.00678	1.01932	1.05708	1.03299
dal4	YIR028W	2	26	7.71287	3.30286	0.05380	1.04115	1.02542	0.99898	1.01547	1.00490	0.98735
dal2	YIR029W	2	26	3.63536	1.72209	0.04215	1.03925	1.02478	0.99710	1.03643	1.03403	1.02317
dcg1	YIR030C	4	52	2.77184	1.52532	0.03678	1.03288	1.02463	1.00532	1.04210	1.02365	1.04149
dal7	YIR031C	2	26	3.48284	1.65020	0.05443	1.05342	1.01843	1.01909	1.00181	1.01363	0.99899
dal3	YIR032C	4	52	1.41262	0.62073	0.03116	1.04080	1.02663	1.01366	1.03110	1.02427	1.00964
MGA2	YIR033W	4	52	3.26048	1.85031	0.03609	1.02792	1.04777	1.01962	1.01390	1.04594	1.04999
lys1	YIR034C	4	52	1.50153	0.67795	0.02507	1.02608	1.01608	1.02578	1.01504	1.00100	1.00844
YIR035C	YIR035C	4	52	2.63622	1.43441	0.03795	1.03793	1.03076	1.02892	1.03830	1.03911	1.00116
YIR036C	YIR036C	4	52	3.44807	1.97370	0.04375	1.04253	1.02692	1.03560	1.02470	1.01511	0.99878
HYR1	YIR037W	4	52	5.67246	3.35749	0.05123	1.04414	1.02946	1.05134	1.00093	1.00043	1.00011
GTT1	YIR038C	4	52	1.95601	0.97765	0.03259	1.04813	1.03088	1.02252	1.04225	1.02424	1.01554
YPS6	YIR039C	4	52	3.45072	1.97543	0.02759	1.00537	1.00290	1.00358	0.97778	0.98070	0.98885
YIR042C	YIR042C	4	52	3.12111	1.75811	0.03604	0.98919	1.00348	0.99376	0.96744	0.98263	0.97016
YIR043C	YIR043C	4	52	0.83417	0.27335	0.02333	1.01503	1.01113	0.99170	1.00760	0.99904	1.00692
YIR044C	YIR044C	4	52	0.48537	0.10502	0.01429	1.00507	1.01936	1.00527	1.00780	1.00958	1.00858
PRE3	YJL001W	4	52	0.50142	0.11159	0.01354	0.99227	0.97873	0.98965	0.97895	0.98651	0.98673
OST1	YJL002C	2	26	13.62760	4.86281	0.03862	0.99157	0.99874	0.99704	1.02574	1.03019	1.00506
YJL003W	YJL003W	2	26	4.86790	2.26468	0.05685	0.98798	0.97666	1.00449	0.94764	0.97144	0.99248
SYS1	YJL004C	4	52	2.20625	1.14541	0.02327	0.98049	0.99653	0.99515	0.99257	1.00376	0.99370
CYR1	YJL005W	2	26	7.53513	3.24514	0.02339	0.98994	0.98871	0.99961	1.00876	1.01210	0.99226
CTK2	YJL006C	3	39	3.43210	1.84400	0.04354	0.97320	0.97467	0.98068	0.99281	0.98264	1.01673
YJL007C	YJL007C	2	26	10.81339	4.19578	0.10773	0.97951	0.98770	0.96295	1.04137	1.02471	1.07068
CCT8	YJL008C	0	0									
YJL009W	YJL009W	4	52	5.40426	3.19893	0.05168	0.95535	0.98126	0.96075	0.93510	0.97949	0.98678
YJL010C	YJL010C	2	26	0.28864	0.03948	0.01417	1.01873	1.00943	1.02020	1.00603	1.00833	1.01814
YJL011C	YJL011C	4	52	2.40444	1.27867	0.02938	1.00120	0.99644	1.00580	0.98569	0.99699	1.01507
VTC4	YJL012C	3	39	4.93946	2.68976	0.09726	0.99229	1.05426	1.01686	1.03546	1.05703	1.08955
MAD3	YJL013C	2	26	9.79441	3.92370	0.04448	0.97555	0.99795	0.99355	1.00337	1.02003	0.99503
CCT3	YJL014W	4	52	4.46301	2.62423	0.03615	0.94154	0.96456	0.93969	0.93223	0.92841	0.93906
YJL015C	YJL015C	4	52	6.44450	3.80133	0.03322	0.99777	1.00211	1.00247	1.02630	1.02476	1.03099
YJL016W	YJL016W	2	26	6.41538	2.86139	0.04585	0.99362	1.00774	1.00104	1.02385	1.02388	1.03947
YJL017W	YJL017W	2	26	0.34558	0.05632	0.01420	1.01114	1.00464	1.00619	1.01191	1.01885	1.00882
YJL018W	YJL018W	4	52	3.47156	1.98909	0.03564	1.00485	0.98838	1.01778	1.00273	0.98215	1.00028
YJL019W	YJL019W	3	34	1.11429	0.42239	0.02625	0.99976	0.99349	1.01192	1.01766	1.00917	1.01974
YJL020C	YJL020C	4	52	0.50951	0.11496	0.00804	1.00049	1.00123	1.00366	1.00853	1.00796	1.00808
YJL021C	YJL021C	4	52	1.98741	0.99864	0.02349	1.00533	0.99402	1.00604	1.01751	1.00044	1.00249
YJL022W	YJL022W	4	52	0.73946	0.22315	0.01137	1.00656	1.00150	0.99987	1.01123	1.01057	1.00992
PET130	YJL023C	4	52	2.90259	1.61272	0.02044	0.99913	0.99318	0.99998	1.01363	1.01303	0.99848
APS3	YJL024C	4	52	2.79418	1.54027	0.03188	1.01606	0.99817	1.01176	1.01605	1.00256	1.03005
RRN7	YJL025W	2	26	4.38520	2.06002	0.04026	1.01313	0.99460	1.02822	0.98797	0.99230	1.02356
rnr2	YJL026W	4	52	3.73965	2.16366	0.03601	1.00007	0.98372	1.00999	0.99638	0.99305	1.01972
YJL027C	YJL027C	4	52	2.81895	1.55684	0.03621	1.00284	0.99300	1.00762	1.00419	0.99144	1.02765
YJL028W	YJL028W	2	26	2.58024	1.20218	0.05416	0.99135	0.98441	0.99530	0.99685	1.01147	1.03857
VPS53	YJL029C	2	26	1.30099	0.51260	0.02667	1.00983	0.98897	1.01564	1.00401	0.99871	1.00089
MAD2	YJL030W	4	52	1.50314	0.67899	0.01452	0.98635	0.98665	1.00087	0.99714	0.99807	0.99492
BET4	YJL031C	4	52	1.81003	0.88042	0.01896	0.99184	0.99101	0.99996	1.00997	1.00688	1.00101
YJL032W	YJL032W	4	52	2.19192	1.13578	0.02110	0.98794	0.98556	1.00411	0.99269	0.99405	1.00667
HCA4	YJL033W	4	52	1.97572	0.99082	0.01871	0.98704	0.98644	1.00515	0.98868	0.99981	0.99531
KAR2	YJL034W	2	26	7.25683	3.15308	0.12054	0.96352	0.99016	0.96417	1.02252	0.99954	1.08406
TAD2	YJL035C	4	52	3.64543	2.10253	0.03068	0.99305	0.98201	1.01075	0.98325	0.98007	1.00803
SNX4	YJL036W	4	52	6.15964	3.63972	0.04080	0.99165	0.97875	1.01954	0.99306	0.98041	1.00643
YJL037W	YJL037W	4	52	1.56585	0.71971	0.03818	0.96186	0.96199	0.97016	0.95286	0.94901	0.98719
YJL038C	YJL038C	4	52	4.09314	2.39072	0.03977	0.98615	0.97381	1.00030	0.97000	0.96460	1.00436
NUP192	YJL039C	4	52	6.09875	3.60485	0.03987	0.98730	0.97884	1.00245	0.96258	0.98193	0.99465
NSP1	YJL041W	4	52	9.40104	5.34194	0.04294	0.97627	0.97056	1.01351	0.97708	0.97631	1.00739
MHP1	YJL042W	4	52	4.63151	2.72919	0.02608	0.97927	0.97073	0.99340	0.97223	0.96732	0.97775
YJL043W	YJL043W	3	39	1.48150	0.64740	0.02579	0.99918	0.98863	1.01442	0.99478	0.99229	0.99567
GYP6	YJL044C	3	38	23.13853	8.58478	0.11048	0.96217	0.98965	0.98734	0.91894	0.98591	1.02942
YJL045W	YJL045W	4	52	3.48990	2.00109	0.02359	0.99449	0.98698	1.01057	0.99238	0.99009	1.00669
YJL046W	YJL046W	4	52	2.95746	1.64931	0.03156	0.99907	0.99006	1.02161	0.99810	0.99704	1.00709
RTT101	YJL047C	3	39	3.51511	1.89280	0.03946	0.98411	0.96717	1.00588	0.98122	0.97572	1.00663
YJL048C	YJL048C	4	52	1.64701	0.77278	0.02300	0.99680	0.98724	1.00108	0.97808	0.98857	0.99227
YJL049W	YJL049W	4	52	6.01241	3.55521	0.03717	0.98613	0.98842	1.00837	0.97835	0.97591	1.01308
MTR4	YJL050W	4	52	7.20024	4.21825	0.03604	0.96916	0.95186	0.98555	0.98790	0.96220	0.98196
YJL051W	YJL051W	4	52	8.03434	4.65930	0.04980	0.99064	0.97194	1.00905	0.97835	0.95925	1.00693
TDH1	YJL052W	4	52	13.39317	7.09631	0.09605	0.96785	0.99557	0.97696	1.00041	1.01600	1.06390
PEP8	YJL053W	2	26	5.41286	2.48461	0.04321	0.99129	0.97630	0.99889	1.01463	1.00608	1.01951
TIM54	YJL054W	4	42	0.53068	0.12416	0.06364	0.90093	0.95145	0.90649	0.88782	0.89345	0.91609
YJL055W	YJL055W	4	52	1.35177	0.58198	0.01829	0.97774	0.97664	0.99493	0.98227	0.98024	0.98567
ZAP1	YJL056C	4	52	5.36575	3.17597	0.04960	0.97266	0.98396	0.98826	0.97003	0.99011	1.01963
IKS1	YJL057C	4	51	3.52731	2.01727	0.03421	0.98272	0.99187	0.99693	0.96890	0.99471	1.00310
YJL058C	YJL058C	4	52	6.02803	3.56421	0.04097	0.98047	0.98075	0.97769	1.00464	1.00285	1.01866
YHC3	YJL059W	0	0									
YJL060W	YJL060W	4	52	3.52328	2.02292	0.02667	0.98611	0.98328	0.99429	1.00216	0.99279	1.00995
NUP82	YJL061W	4	52	3.12292	1.75930	0.02655	0.97040	0.97549	0.99192	0.96549	0.96609	0.99204
LAS21	YJL062W	2	26	14.19230	4.98411	0.07800	0.95047	1.00700	0.97402	0.94693	1.00566	1.02494
MRPL8	YJL063C	4	52	11.19185	6.16918	0.06801	0.99533	0.95623	0.99777	0.98972	0.93415	1.00216
YJL064W	YJL064W	4	52	1.17242	0.47012	0.02353	0.98441	0.99327	0.99975	0.99703	0.99012	1.00794
YJL065C	YJL065C	4	52	1.10573	0.42963	0.01472	0.98440	0.98416	0.99012	0.98808	0.98133	0.99605
YJL066C	YJL066C	4	52	2.32637	1.22617	0.01918	0.98856	0.99332	1.00665	0.99529	0.99553	1.00774
YJL067W	YJL067W	4	52	3.67863	2.12410	0.04030	0.98443	0.98759	1.00055	1.00406	1.00044	1.02473
YJL068C	YJL068C	4	52	1.10765	0.43078	0.01582	0.98309	0.97671	0.99253	0.97783	0.98136	0.99227
YJL069C	YJL069C	2	26	9.53126	3.85032	0.05762	0.95788	0.98874	0.97556	0.97122	1.00306	1.01551
YJL070C	YJL070C	4	52	0.81977	0.26554	0.01703	0.98782	0.98918	0.99389	0.99675	0.99873	1.00485
ARG2	YJL071W	4	52	1.16288	0.46429	0.01973	0.98275	0.98072	0.99276	0.99137	0.98120	1.00045
YJL072C	YJL072C	4	52	1.35590	0.58460	0.02549	0.97756	0.97600	0.98846	0.96953	0.96297	0.97956
JEM1	YJL073W	4	52	2.99804	1.67633	0.03783	0.97742	0.98689	0.98237	0.99875	0.99589	1.01525
SMC3	YJL074C	4	52	2.02592	1.02441	0.03399	0.97002	0.97678	0.97984	0.99207	0.98603	1.00402
YJL075C	YJL075C	2	26	5.53237	2.53135	0.09290	0.96932	1.00337	0.97640	0.94443	0.98745	1.03733
NET1	YJL076W	4	52	3.37740	1.92732	0.04720	0.98427	0.98681	0.98056	0.99887	1.00728	1.02776
ICS3	YJL077C	2	26	10.35042	4.07446	0.03192	0.99017	0.98661	1.00477	1.01853	1.01687	1.00975
PRY3	YJL078C	2	26	5.33990	2.45582	0.05217	0.97103	0.97129	0.98276	0.94290	0.93370	0.98587
PRY1	YJL079C	4	52	2.97232	1.65921	0.02651	0.97901	0.97794	0.99577	0.98825	0.97967	0.96925
SCP160	YJL080C	4	52	2.14773	1.10610	0.02237	0.97546	0.99783	0.99377	0.98431	0.99743	0.98834
ARP4	YJL081C	2	26	22.87013	6.49098	0.04592	0.97967	1.00138	0.99964	1.00370	1.02558	1.01386
IML2	YJL082W	4	52	14.76357	7.63045	0.07199	0.94938	0.92133	0.98056	0.94193	0.90858	0.95096
YJL083W	YJL083W	4	52	1.73057	0.82781	0.02204	0.98065	0.98909	1.00269	0.98335	0.99337	0.99848
YJL084C	YJL084C	4	52	0.84919	0.28155	0.01305	0.99220	0.99238	0.99971	0.98665	0.99664	0.99252
EXO70	YJL085W	4	52	2.93292	1.63295	0.02380	0.99281	0.99379	0.99234	0.96999	0.98807	0.98667
YJL086C	YJL086C	4	52	1.46430	0.65391	0.01840	0.99000	0.99268	1.00148	0.99313	0.99579	1.00840
TRL1	YJL087C	4	52	2.20634	1.14547	0.02660	0.98566	0.98930	1.00454	0.97794	0.99436	1.00259
arg3	YJL088W	4	49	1.07702	0.41111	0.04582	0.95842	0.97987	0.97516	0.97138	0.97168	1.00424
SIP4	YJL089W	4	42	0.65113	0.17867	0.05573	0.92296	0.97869	0.94919	0.92632	0.95547	0.97849
DPB11	YJL090C	4	52	0.82331	0.26746	0.01828	0.98287	0.98932	0.99358	0.97596	0.98468	0.99424
YJL091C	YJL091C	4	47	0.69317	0.19940	0.02921	0.98158	0.98162	0.99490	0.97095	0.97947	1.00015
hpr5	YJL092W	3	37	4.83547	2.58535	0.02971	0.99083	0.99390	1.00741	1.02053	1.01934	1.01267
TOK1	YJL093C	3	39	1.67338	0.76577	0.03593	0.97784	1.00943	0.97861	0.98144	0.98776	1.01377
YJL094C	YJL094C	4	52	4.92498	2.90984	0.04855	0.98302	0.98469	0.98622	1.00164	0.98814	1.03156
bck1	YJL095W	4	52	1.05880	0.40156	0.01953	0.99916	1.00917	1.00079	0.98964	1.00270	1.00302
MRPL49	YJL096W	2	26	3.70003	1.75224	0.02405	0.99111	0.99197	1.00710	1.01516	1.00323	0.99515
YJL097W	YJL097W	3	39	3.09251	1.64183	0.12523	0.99243	1.10602	1.01498	0.98078	1.01236	1.05215
SAP185	YJL098W	2	26	1.65168	0.70484	0.02490	1.03644	1.04267	1.04310	1.01820	1.02451	1.03216
chs6	YJL099W	4	52	3.11728	1.75556	0.07302	0.99522	1.03893	1.01419	0.96591	0.96755	0.99611
YJL100W	YJL100W	4	52	0.89320	0.30592	0.01690	0.99208	0.98705	0.98773	0.98934	0.98428	1.00119
GSH1	YJL101C	4	52	0.79676	0.25320	0.01494	0.98524	0.98573	0.97972	0.99466	0.98613	0.99361
MEF2	YJL102W	4	52	11.81549	6.44120	0.04041	0.96938	0.95749	0.95748	0.92897	0.94559	0.95971
YJL103C	YJL103C	4	52	4.14732	2.42519	0.04545	0.99229	0.98799	1.00912	0.98555	0.97213	1.01758
YJL104W	YJL104W	3	34	0.55490	0.13476	0.06592	0.94495	1.01087	0.95466	0.96409	0.98540	1.00422
YJL105W	YJL105W	2	26	5.94793	2.68994	0.08398	0.96288	1.00512	0.97509	0.94751	0.99885	1.03149
IME2	YJL106W	3	34	0.20539	0.01903	0.03271	0.95643	0.97778	0.95252	0.98494	0.97711	0.98523
YJL107C	YJL107C	2	26	1.32881	0.52778	0.01996	1.00825	1.00770	1.01662	1.00352	1.00064	1.02060
PRM10	YJL108C	4	52	6.38256	3.76641	0.06887	0.97162	1.03223	0.99784	0.98442	1.01315	1.04049
YJL109C	YJL109C	4	52	2.26288	1.18347	0.01751	0.98990	0.99219	0.99834	1.00573	1.00460	1.00741
GZF3	YJL110C	3	39	2.36759	1.19828	0.07486	0.98482	1.02403	0.98620	1.03110	1.00662	1.05968
CCT7	YJL111W	4	52	18.08908	8.81205	0.12005	0.85884	0.96749	0.86045	0.84744	0.86503	0.90656
MDV1	YJL112W	4	52	2.17933	1.12732	0.02562	0.99514	0.98351	0.99303	1.00296	0.99914	1.00913
