gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
OSH1	YAR044W	2	26	1.94676	0.86592	0.02567	0.97631	0.99322	1.00011	0.99129	1.00198	0.99152
YAR047C	YAR047C	2	26	1.95513	0.87046	0.03123	0.94956	0.98078	0.97610	0.95468	0.95802	0.96791
FLO1	YAR050W	4	52	0.99978	0.36682	0.01386	0.99751	1.01035	0.99650	1.00158	1.00259	1.01032
ECM15	YBL001C	4	40	21.72240	8.42537	0.36368	0.79070	0.61740	0.77772	0.76780	0.42702	0.54940
HTB2	YBL002W	2	21	392.54341	12.97555	0.64321	0.92244	0.50385	0.91953	0.83757	0.27923	0.35668
HTA2	YBL003C	4	38	57.42431	13.12375	0.45262	0.73248	0.45370	0.78584	0.65964	0.33322	0.40366
YBL004W	YBL004W	4	52	0.40979	0.07610	0.01355	0.99579	0.99022	0.99630	1.00377	0.99672	0.99591
pdr3	YBL005W	3	25	18.59921	5.43218	0.31907	0.80393	0.51685	0.77297	0.77042	0.48486	0.53680
YBL006C	YBL006C	2	26	2.34410	1.07873	0.04565	1.02072	1.01216	1.00824	1.05389	1.03310	1.01997
SLA1	YBL007C	2	26	5.08426	2.35336	0.04381	0.89793	0.93301	0.91020	0.92556	0.91164	0.94174
HIR1	YBL008W	2	26	1.44042	0.58888	0.04411	1.02380	1.00125	1.02636	1.04536	1.02107	1.01934
YBL009W	YBL009W	4	52	2.08804	1.06604	0.03151	1.01932	0.99870	1.01310	0.99883	0.98781	1.00465
YBL010C	YBL010C	4	52	11.07500	6.11733	0.06361	1.02233	0.99525	1.03412	0.98344	0.97051	0.99097
SCT1	YBL011W	3	33	61.14272	12.14092	0.46160	0.95597	0.49437	0.94593	0.94749	0.59258	0.58459
YBL012C	YBL012C	4	52	3.61649	2.08371	0.02949	1.00624	0.98083	1.00642	1.00527	0.97693	1.00095
FMT1	YBL013W	2	26	3.99588	1.88771	0.06967	1.00443	0.93476	1.00164	1.00346	0.94003	0.97174
RRN6	YBL014C	1	7	0.00000	0.00000	0.22516	0.84975	0.67490	0.75871	0.73775	0.66966	0.62459
ACH1	YBL015W	4	52	1.43546	0.63537	0.02378	0.99280	0.98682	0.99976	1.00604	0.98225	0.99121
FUS3	YBL016W	4	52	2.18821	1.13329	0.01716	0.98359	0.97008	0.98115	0.97001	0.96643	0.96683
pep1	YBL017C	2	26	1.78976	0.78044	0.05115	0.97256	0.96257	1.00631	0.99441	0.98344	1.01372
POP8	YBL018C	4	52	1.01652	0.37661	0.01719	0.99379	0.97756	0.99454	0.98365	0.97735	0.99150
APN2	YBL019W	4	52	3.02852	1.69662	0.02330	0.98782	0.96673	0.98874	0.96544	0.97462	0.97424
rft1	YBL020W	4	52	5.26319	3.11460	0.04240	1.00177	0.98091	0.99487	0.97806	0.95937	0.97910
HAP3	YBL021C	3	26	16.72559	5.31148	0.44232	0.79662	0.44938	0.66560	0.66778	0.42072	0.35431
PIM1	YBL022C	2	18	30.93154	5.04742	0.34335	0.78536	0.56326	0.84155	0.77052	0.49820	0.50776
mcm2	YBL023C	4	51	5.18035	3.04812	0.04824	0.93592	0.94892	0.93520	0.90517	0.90068	0.92831
NCL1	YBL024W	2	26	2.59190	1.20822	0.03225	0.98061	0.96829	0.96151	0.98057	0.94836	0.96682
RRN10	YBL025W	4	52	3.06382	1.72007	0.02942	0.99360	0.99098	1.00690	0.97855	0.97749	0.98350
LSM2	YBL026W	2	26	4.44246	2.08480	0.03757	0.99016	0.95878	0.96765	0.97370	0.95259	0.96130
RPL19B	YBL027W	4	52	17.23944	8.52416	0.07183	0.90383	0.95656	0.90138	0.89034	0.92617	0.96217
YBL028C	YBL028C	2	26	2.65383	1.24015	0.05443	0.99841	0.99323	0.99439	1.02764	0.97321	1.01165
YBL029W	YBL029W	2	26	0.79448	0.24596	0.01956	0.98262	0.98584	0.99625	1.00218	0.98725	0.99813
pet9	YBL030C	3	39	3.71161	2.00730	0.05277	0.96210	0.97352	0.95990	0.96362	0.97953	1.01267
SHE1	YBL031W	2	26	2.20659	1.00574	0.02863	1.00156	0.97453	0.99279	0.99062	0.98558	0.97293
YBL032W	YBL032W	4	52	14.59329	7.56572	0.07133	0.99898	0.97417	0.98549	0.94746	0.92765	0.96288
rib1	YBL033C	2	26	7.62579	3.27468	0.06333	1.01707	0.99139	1.01590	0.98769	0.95374	0.98675
STU1	YBL034C	4	52	9.87941	5.56999	0.04684	1.00334	0.96207	0.99862	0.97006	0.95650	0.97618
POL12	YBL035C	4	52	5.94065	3.51378	0.02823	0.99696	0.97722	0.98733	0.97850	0.96873	0.97639
YBL036C	YBL036C	3	39	1.35614	0.57104	0.02313	0.99823	0.99356	0.99644	0.99073	0.97511	0.98671
APL3	YBL037W	4	52	8.29784	4.79467	0.04044	1.00205	0.97125	1.00784	0.99176	0.96740	0.99143
MRPL16	YBL038W	4	52	7.61017	4.43743	0.04191	1.00319	0.99496	1.01864	0.99517	0.97673	0.98142
URA7	YBL039C	4	52	5.76186	3.40984	0.03394	1.00084	0.99220	1.00554	0.98719	0.97160	0.98359
ERD2	YBL040C	4	52	8.49759	4.89605	0.03311	0.99635	0.97616	0.99686	0.97406	0.96375	0.96891
PRE7	YBL041W	4	52	2.64613	1.44106	0.03199	0.98479	0.97051	0.98678	0.97119	0.95479	0.97742
FUI1	YBL042C	4	52	6.94191	4.07764	0.03483	1.00812	0.99913	1.00269	0.98769	0.97330	0.98120
ECM13	YBL043W	2	26	7.83336	3.34153	0.07068	0.99884	0.99122	1.02207	0.98713	0.95139	1.00396
