,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
193,YHR124W,NDT80,24.2,-5,22.4,-5,0.66,0,0,0,0,0,24.2,-5,22.4,-5,6.60E-01
194,YOR156C,NFI1,23.1,-10,29.3,-10,0.26,0,0,0,0,0,23.1,-10,29.3,-10,2.60E-01
195,YKR103W,NFT1,26.1,-20,26.1,-25,0.95,0,0,0,0,0,26.1,-20,26.1,-25,9.50E-01
196,YKR104W,NFT1,22.4,-5,28.8,-5,0.6,0,0,0,0,0,22.4,-5,28.8,-5,6.00E-01
197,YLR351C,NIT3,27.8,-20,24.4,-20,0.25,0,0,0,0,0,27.8,-20,24.4,-20,2.50E-01
198,YHR077C,NMD2,24,-5,22.4,-5,1,0,0,0,0,0,24,-5,22.4,-5,1.00E+00
199,YLR363C,NMD4,29.5,-25,24,-55,0.033,16.9,-40,21.1,-20,0.025,21.8,-65,23.2,-75,1.10E-01
200,YHR133C,NSG1,24.6,-5,22.4,-5,0.75,0,0,0,0,0,24.6,-5,22.4,-5,7.50E-01
201,YIL136W,OM45,31.2,-35,25.4,-35,0.13,19.2,-40,21.1,-20,0.37,24.8,-75,23.8,-55,9.10E-01
202,YLR350W,ORM2,22.6,-10,22.7,-10,0.7,0,0,0,0,0,22.6,-10,22.7,-10,7.00E-01
203,YOR130C,ORT1,27.8,-25,28.4,-25,0.38,0,0,0,0,0,27.8,-25,28.4,-25,3.80E-01
204,YHR073W,OSH3,24.3,-15,25,-25,0.43,0,0,0,0,0,24.3,-15,25,-25,4.30E-01
205,YHR179W,OYE2,18.2,-5,22.4,-5,0.45,0,0,0,0,0,18.2,-5,22.4,-5,4.50E-01
206,YGR078C,PAC10,21.3,-35,26.2,-45,0.038,0,0,0,0,0,21.3,-35,26.2,-45,3.80E-02
207,YMR174C,PAI3,28.3,-25,27.5,-35,0.99,0,0,0,0,0,28.3,-25,27.5,-35,9.90E-01
208,YDR251W,PAM1,29.9,-20,26.9,-35,0.22,0,0,0,0,0,29.9,-20,26.9,-35,2.20E-01
209,YLR461W,PAU4,32.1,-20,26.9,-30,0.083,0,0,0,0,0,32.1,-20,26.9,-30,8.30E-02
210,YBR233W,PBP2,24,-10,29.6,-10,0.12,0,0,0,0,0,24,-10,29.6,-10,1.20E-01
211,YKR097W,PCK1,20.2,-5,28.8,-5,0.26,0,0,0,0,0,20.2,-5,28.8,-5,2.60E-01
212,YGR101W,PCP1,16.8,-5,32.8,-5,0.095,0,0,0,0,0,16.8,-5,32.8,-5,9.50E-02
213,YER178W,PDA1,18.7,-40,23.2,-70,0.0053,0,0,0,0,0,18.7,-40,23.2,-70,5.30E-03
214,YGR087C,PDC6,24.5,-25,24.2,-45,0.76,0,0,0,0,0,24.5,-25,24.2,-45,7.60E-01
215,YOR153W,PDR5,23.1,-10,29.3,-10,0.21,0,0,0,0,0,23.1,-10,29.3,-10,2.10E-01
216,YDR323C,PEP7,24.5,-10,27.4,-10,0.62,0,0,0,0,0,24.5,-10,27.4,-10,6.20E-01
217,YDR079W,PET100,25.2,-10,29.6,-10,0.31,0,0,0,0,0,25.2,-10,29.6,-10,3.10E-01
218,YJR034W,PET191,23,-15,23.7,-15,0.55,0,0,0,0,0,23,-15,23.7,-15,5.50E-01
219,YDR265W,PEX10,26.8,-25,28.1,-25,0.72,0,0,0,0,0,26.8,-25,28.1,-25,7.20E-01
220,YHR160C,PEX18,22.6,-5,22.4,-5,0.79,0,0,0,0,0,22.6,-5,22.4,-5,7.90E-01
221,YDR329C,PEX3,22.8,-5,29,-5,0.34,0,0,0,0,0,22.8,-5,29,-5,3.40E-01
222,YDR244W,PEX5,27.3,-20,26.9,-35,0.87,25.7,-20,28.7,-20,0.4,26.5,-40,27.5,-55,6.50E-01
223,YGR077C,PEX8,19.6,-5,32.8,-5,0.17,0,0,0,0,0,19.6,-5,32.8,-5,1.70E-01
224,YDR281C,PHM6,29.7,-20,26.9,-35,0.3,0,0,0,0,0,29.7,-20,26.9,-35,3.00E-01
225,YDR313C,PIB1,34.9,-55,27.9,-55,0.00053,28.4,-100,26.8,-120,0.34,30.7,-155,27.2,-175,3.00E-03
226,YHR034W,PIH1,19.2,-5,22.4,-5,0.4,0,0,0,0,0,19.2,-5,22.4,-5,4.00E-01
227,YOR104W,PIN2,23.6,-5,32.8,-5,0.42,0,0,0,0,0,23.6,-5,32.8,-5,4.20E-01
228,YDR276C,PMP3,28.6,-15,29.1,-20,0.99,0,0,0,0,0,28.6,-15,29.1,-20,9.90E-01
229,YIL122W,POG1,21.1,-15,23.7,-15,0.27,0,0,0,0,0,21.1,-15,23.7,-15,2.70E-01
