,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
1,YMR056C,AAC1,25.3,-105,23.9,-135,0.22,28.7,-100,26.8,-120,0.13,26.9,-205,25.3,-255,2.70E-02
2,YCR107W,AAD3,27.4,-20,23.8,-20,0.37,0,0,0,0,0,27.4,-20,23.8,-20,3.70E-01
3,YHR047C,AAP1,15.8,-5,22.4,-5,0.19,0,0,0,0,0,15.8,-5,22.4,-5,1.90E-01
4,YAL054C,ACS1,24.5,-10,26.1,-10,0.57,0,0,0,0,0,24.5,-10,26.1,-10,5.70E-01
5,YGR061C,ADE6,25.7,-25,28.4,-25,0.4,0,0,0,0,0,25.7,-25,28.4,-25,4.00E-01
6,YER170W,ADK2,23.4,-10,22.7,-10,0.65,0,0,0,0,0,23.4,-10,22.7,-10,6.50E-01
7,YDR085C,AFR1,23.4,-10,29.6,-10,0.081,0,0,0,0,0,23.4,-10,29.6,-10,8.10E-02
8,YHR093W,AHT1,28.4,-15,25,-25,0.54,0,0,0,0,0,28.4,-15,25,-25,5.40E-01
9,YDR264C,AKR1,14.7,-25,25.8,-25,9.5e-06,0,0,0,0,0,14.7,-25,25.8,-25,9.50E-06
10,YMR169C,ALD3,29.4,-10,30,-10,0.91,0,0,0,0,0,29.4,-10,30,-10,9.10E-01
11,YDR111C,ALT2,19.7,-10,29.6,-10,0.082,0,0,0,0,0,19.7,-10,29.6,-10,8.20E-02
12,YDR242W,AMD2,23.8,-30,25.4,-30,0.28,0,0,0,0,0,23.8,-30,25.4,-30,2.80E-01
13,YBR231C,AOR1,15.9,-10,29.6,-10,0.0017,0,0,0,0,0,15.9,-10,29.6,-10,1.70E-03
14,YHR018C,ARG4,29,-25,26.3,-25,0.54,0,0,0,0,0,29,-25,26.3,-25,5.40E-01
15,YBR249C,ARO4,26.5,-15,28.5,-15,0.97,0,0,0,0,0,26.5,-15,28.5,-15,9.70E-01
16,YHR137W,ARO9,20,-5,22.4,-5,0.84,0,0,0,0,0,20,-5,22.4,-5,8.40E-01
17,YHR129C,ARP1,15.7,-20,24.5,-25,0.0033,0,0,0,0,0,15.7,-20,24.5,-25,3.30E-03
18,YDR101C,ARX1,24.4,-25,24.5,-35,0.76,0,0,0,0,0,24.4,-25,24.5,-35,7.60E-01
19,YGR097W,ASK10,23.7,-10,29.3,-10,0.31,0,0,0,0,0,23.7,-10,29.3,-10,3.10E-01
20,YDR321W,ASP1,31.5,-20,26.9,-35,0.35,0,0,0,0,0,31.5,-20,26.9,-35,3.50E-01
21,YLR423C,ATG17,18.4,-5,28.8,-5,0.29,0,0,0,0,0,18.4,-5,28.8,-5,2.90E-01
22,YCL038C,ATG22,25.7,-10,28.5,-10,0.65,0,0,0,0,0,25.7,-10,28.5,-10,6.50E-01
23,YLR431C,ATG23,25.4,-20,26.9,-30,0.34,0,0,0,0,0,25.4,-20,26.9,-30,3.40E-01
24,YML081CA,ATP18,15.5,-14,24.5,-45,0.0011,0,0,0,0,0,15.5,-14,24.5,-45,1.10E-03
25,YDR298C,ATP5,23.4,-25,25.8,-25,0.26,0,0,0,0,0,23.4,-25,25.8,-25,2.60E-01
26,YOR113W,AZF1,28,-45,26,-45,0.33,0,0,0,0,0,28,-45,26,-45,3.30E-01
27,YOR134W,BAG7,30.3,-20,25.4,-65,0.16,22.9,-20,22.1,-20,0.64,26.6,-40,24.6,-85,5.70E-01
28,YKR099W,BAS1,35.6,-30,26.9,-30,0.0017,23.1,-40,25.3,-60,0.18,28.5,-70,25.8,-90,1.90E-01
29,YNR058W,BIO3,29.9,-20,24.8,-50,0.13,0,0,0,0,0,29.9,-20,24.8,-50,1.30E-01
30,YNR057C,BIO4,21.8,-5,28.8,-5,0.45,0,0,0,0,0,21.8,-5,28.8,-5,4.50E-01
31,YNR056C,BIO5,20.8,-5,28.8,-5,0.38,0,0,0,0,0,20.8,-5,28.8,-5,3.80E-01
32,YER177W,BMH1,20.1,-10,22.7,-10,0.68,0,0,0,0,0,20.1,-10,22.7,-10,6.80E-01
33,YDR099W,BMH2,26.1,-15,28.5,-15,0.3,0,0,0,0,0,26.1,-15,28.5,-15,3.00E-01
34,YNR051C,BRE5,25.8,-80,26.6,-130,0.48,32.8,-40,25.3,-60,0.0066,28.2,-120,26.1,-190,2.80E-01
35,YDR275W,BSC2,34.2,-25,27.6,-25,0.034,28.2,-20,29.7,-20,0.9,31.6,-45,28.5,-45,2.00E-01
36,YDR252W,BTT1,24.8,-5,29,-5,0.73,0,0,0,0,0,24.8,-5,29,-5,7.30E-01
37,YMR055C,BUB2,22.6,-15,23.7,-15,0.48,0,0,0,0,0,22.6,-15,23.7,-15,4.80E-01
38,YLR353W,BUD8,31.3,-25,24,-55,0.052,0,0,0,0,0,31.3,-25,24,-55,5.20E-02
39,YHR114W,BZZ1,20.8,-5,22.4,-5,0.8,0,0,0,0,0,20.8,-5,22.4,-5,8.00E-01
40,YLR438W,CAR2,16.4,-5,28.8,-5,0.056,0,0,0,0,0,16.4,-5,28.8,-5,5.60E-02
41,YDR270W,CCC2,17.8,-5,29,-5,0.22,0,0,0,0,0,17.8,-5,29,-5,2.20E-01
42,YDR254W,CHL4,22.6,-10,27.4,-10,0.27,0,0,0,0,0,22.6,-10,27.4,-10,2.70E-01
43,YHR142W,CHS7,18,-5,22.4,-5,0.46,0,0,0,0,0,18,-5,22.4,-5,4.60E-01
44,YGR108W,CLB1,24,-25,28.4,-25,0.015,0,0,0,0,0,24,-25,28.4,-25,1.50E-02
45,YGR109C,CLB6,24.1,-25,28.4,-25,0.2,0,0,0,0,0,24.1,-25,28.4,-25,2.00E-01
46,YLR433C,CNA1,23.8,-20,26.9,-30,0.19,0,0,0,0,0,23.8,-20,26.9,-30,1.90E-01
47,YLL018CA,COX19,17.4,-5,28.8,-5,0.1,0,0,0,0,0,17.4,-5,28.8,-5,1.00E-01
48,YIL111W,COX5B,27.8,-20,24.4,-20,0.26,0,0,0,0,0,27.8,-20,24.4,-20,2.60E-01
49,YHR057C,CPR2,24,-5,22.4,-5,0.44,0,0,0,0,0,24,-5,22.4,-5,4.40E-01
50,YDR304C,CPR5,25.6,-5,29,-5,0.79,0,0,0,0,0,25.6,-5,29,-5,7.90E-01
51,YOR100C,CRC1,31.6,-25,25.3,-25,0.017,25.9,-40,25.3,-60,0.67,28.1,-65,25.3,-85,2.50E-01
52,YLR429W,CRN1,30.2,-25,27.6,-25,0.56,0,0,0,0,0,30.2,-25,27.6,-25,5.60E-01
53,YLR380W,CSR1,22.3,-15,23.7,-15,0.55,0,0,0,0,0,22.3,-15,23.7,-15,5.50E-01
54,YDR256C,CTA1,29.9,-20,26.9,-35,0.43,0,0,0,0,0,29.9,-20,26.9,-35,4.30E-01
55,YLR381W,CTF3,24.3,-10,22.7,-10,0.43,0,0,0,0,0,24.3,-10,22.7,-10,4.30E-01
56,YHR109W,CTM1,22,-5,22.4,-5,1,0,0,0,0,0,22,-5,22.4,-5,1.00E+00
57,YGR088W,CTT1,24.8,-25,28.4,-25,0.22,0,0,0,0,0,24.8,-25,28.4,-25,2.20E-01
58,YAL012W,CYS3,30.2,-25,24.5,-25,0.19,0,0,0,0,0,30.2,-25,24.5,-25,1.90E-01
59,YHR028C,DAP2,22,-5,22.4,-5,0.88,0,0,0,0,0,22,-5,22.4,-5,8.80E-01
60,YOR180C,DCI1,29.8,-25,28.4,-25,0.83,0,0,0,0,0,29.8,-25,28.4,-25,8.30E-01
61,YOR173W,DCS2,22.8,-10,29.3,-10,0.21,0,0,0,0,0,22.8,-10,29.3,-10,2.10E-01
62,YOR163W,DDP1,27.8,-25,25.3,-25,0.22,0,0,0,0,0,27.8,-25,25.3,-25,2.20E-01
63,YFL001W,DEG1,27.8,-35,24.5,-35,0.19,0,0,0,0,0,27.8,-35,24.5,-35,1.90E-01
64,YLR348C,DIC1,23.3,-15,23.7,-15,0.77,0,0,0,0,0,23.3,-15,23.7,-15,7.70E-01
65,YDR263C,DIN7,22.6,-5,29,-5,0.58,0,0,0,0,0,22.6,-5,29,-5,5.80E-01
66,YIR004W,DJP1,28.6,-25,24,-55,0.14,0,0,0,0,0,28.6,-25,24,-55,1.40E-01
67,YER179W,DMC1,22.3,-15,23.7,-15,0.77,0,0,0,0,0,22.3,-15,23.7,-15,7.70E-01
68,YDR093W,DNF2,22.9,-15,25.2,-20,0.43,0,0,0,0,0,22.9,-15,25.2,-20,4.30E-01
69,YDR069C,DOA4,15.8,-10,29.6,-10,0.0013,0,0,0,0,0,15.8,-10,29.6,-10,1.30E-03
70,YHR044C,DOG1,25.8,-15,25,-25,0.91,0,0,0,0,0,25.8,-15,25,-25,9.10E-01
71,YHR043C,DOG2,19.8,-5,22.4,-5,0.69,0,0,0,0,0,19.8,-5,22.4,-5,6.90E-01
72,YDR273W,DON1,19.8,-5,29,-5,0.42,0,0,0,0,0,19.8,-5,29,-5,4.20E-01
73,YDR068W,DOS2,27.4,-20,26.9,-30,0.8,0,0,0,0,0,27.4,-20,26.9,-30,8.00E-01
74,YDR121W,DPB4,25.9,-10,29.6,-10,0.33,0,0,0,0,0,25.9,-10,29.6,-10,3.30E-01
75,YDR294C,DPL1,23.4,-25,27.6,-25,0.2,0,0,0,0,0,23.4,-25,27.6,-25,2.00E-01
76,YDR284C,DPP1,31.7,-20,25.9,-55,0.24,0,0,0,0,0,31.7,-20,25.9,-55,2.40E-01
77,YHR143W,DSE2,15.4,-5,22.4,-5,0.095,0,0,0,0,0,15.4,-5,22.4,-5,9.50E-02
78,YNR067C,DSE4,27.1,-20,26.9,-30,0.94,0,0,0,0,0,27.1,-20,26.9,-30,9.40E-01
79,YKR054C,DYN1,20.1,-30,23.5,-50,0.12,0,0,0,0,0,20.1,-30,23.5,-50,1.20E-01
80,YHR132C,ECM14,22.2,-5,22.4,-5,0.98,0,0,0,0,0,22.2,-5,22.4,-5,9.80E-01
81,YDR125C,ECM18,26.2,-20,29.6,-20,0.49,0,0,0,0,0,26.2,-20,29.6,-20,4.90E-01
82,YLR390W,ECM19,23.2,-20,24.4,-20,0.65,0,0,0,0,0,23.2,-20,24.4,-20,6.50E-01
83,YLR436C,ECM30,28.1,-20,26.9,-30,0.72,0,0,0,0,0,28.1,-20,26.9,-30,7.20E-01
84,YER176W,ECM32,28.4,-25,25.4,-35,0.48,0,0,0,0,0,28.4,-25,25.4,-35,4.80E-01
85,YLR443W,ECM7,13,-5,28.8,-5,0.095,0,0,0,0,0,13,-5,28.8,-5,9.50E-02
86,YOR133W,EFT1,17.8,-15,23.8,-25,0.015,0,0,0,0,0,17.8,-15,23.8,-25,1.50E-02
87,YOR144C,ELG1,25,-5,32.8,-5,0.38,0,0,0,0,0,25,-5,32.8,-5,3.80E-01
88,YDR512C,EMI1,23.7,-30,25.3,-40,0.34,0,0,0,0,0,23.7,-30,25.3,-40,3.40E-01
89,YIL005W,EPS1,24.4,-5,29,-5,0.69,0,0,0,0,0,24.4,-5,29,-5,6.90E-01
90,YHR123W,EPT1,24.4,-15,25,-25,0.63,0,0,0,0,0,24.4,-15,25,-25,6.30E-01
91,YHR110W,ERP5,15.6,-5,22.4,-5,0.25,0,0,0,0,0,15.6,-5,22.4,-5,2.50E-01
92,YDR261C,EXG2,19.8,-5,29,-5,0.22,0,0,0,0,0,19.8,-5,29,-5,2.20E-01
93,YMR052W,FAR3,26.8,-15,23.7,-15,0.63,0,0,0,0,0,26.8,-15,23.7,-15,6.30E-01
94,YER183C,FAU1,24.8,-20,24.4,-20,0.81,0,0,0,0,0,24.8,-20,24.4,-20,8.10E-01
95,YLR377C,FBP1,26.4,-45,24.5,-95,0.39,0,0,0,0,0,26.4,-45,24.5,-95,3.90E-01
96,YMR058W,FET3,22,-10,22.7,-10,1,0,0,0,0,0,22,-10,22.7,-10,1.00E+00
97,YDR130C,FIN1,19.9,-10,29.6,-10,0.037,0,0,0,0,0,19.9,-10,29.6,-10,3.70E-02
98,YIL131C,FKH1,29.9,-20,24.8,-25,0.11,0,0,0,0,0,29.9,-20,24.8,-25,1.10E-01
99,YAR050W,FLO1,21,-5,28.8,-5,0.41,0,0,0,0,0,21,-5,28.8,-5,4.10E-01
100,YER182W,FMP10,23.2,-20,24.4,-20,0.38,0,0,0,0,0,23.2,-20,24.4,-20,3.80E-01
101,YDR070C,FMP16,18.6,-10,29.6,-10,0.0072,0,0,0,0,0,18.6,-10,29.6,-10,7.20E-03
102,YKR065C,FMP18,18.8,-5,29,-5,0.31,0,0,0,0,0,18.8,-5,29,-5,3.10E-01
103,YLR454W,FMP27,22.7,-20,26.9,-30,0.11,0,0,0,0,0,22.7,-20,26.9,-30,1.10E-01
104,YDR493W,FMP36,22,-25,25.4,-35,0.076,0,0,0,0,0,22,-25,25.4,-35,7.60E-02
105,YKR049C,FMP46,23.1,-20,28.4,-35,0.015,0,0,0,0,0,23.1,-20,28.4,-35,1.50E-02
106,YBR262C,FMP51,17.3,-10,29.6,-10,0.0017,0,0,0,0,0,17.3,-10,29.6,-10,1.70E-03
107,YDR110W,FOB1,32,-1810,25.8,-1790,2.4e-56,31.8,-140,28.1,-100,0.021,32,-1950,25.9,-1890,2.60E-57
108,YLR449W,FPR4,28.6,-25,24.2,-25,0.14,0,0,0,0,0,28.6,-25,24.2,-25,1.40E-01
109,YNR060W,FRE4,22.2,-5,28.8,-5,0.69,0,0,0,0,0,22.2,-5,28.8,-5,6.90E-01
110,YCL058C,FYV5,21,-5,28.8,-5,0.69,0,0,0,0,0,21,-5,28.8,-5,6.90E-01
111,YOR178C,GAC1,23.3,-10,29.3,-10,0.15,0,0,0,0,0,23.3,-10,29.3,-10,1.50E-01
112,YFL021W,GAT1,25.4,-25,23.9,-45,0.73,0,0,0,0,0,25.4,-25,23.9,-45,7.30E-01
113,YDR283C,GCN2,25.7,-495,27,-565,0.028,23.3,-180,28.8,-220,1.1e-08,25.1,-675,27.5,-785,2.80E-02
114,YOR120W,GCY1,26.5,-15,25.1,-20,0.33,0,0,0,0,0,26.5,-15,25.1,-20,3.30E-01
115,YHR108W,GGA2,26.6,-15,25,-25,0.49,0,0,0,0,0,26.6,-15,25,-25,4.90E-01
116,YHR061C,GIC1,24.4,-5,22.4,-5,0.73,0,0,0,0,0,24.4,-5,22.4,-5,7.30E-01
117,YDR309C,GIC2,24,-5,29,-5,0.55,0,0,0,0,0,24,-5,29,-5,5.50E-01
118,YDR096W,GIS1,31.2,-90,25.2,-90,0.00025,0,0,0,0,0,31.2,-90,25.2,-90,2.50E-04
119,YKR058W,GLG1,25.8,-5,29,-5,0.83,0,0,0,0,0,25.8,-5,29,-5,8.30E-01
120,YER040W,GLN3,20.6,-45,24.9,-45,0.015,0,0,0,0,0,20.6,-45,24.9,-45,1.50E-02
121,YDR272W,GLO2,21.4,-5,29,-5,0.34,0,0,0,0,0,21.4,-5,29,-5,3.40E-01
122,YHR183W,GND1,24.2,-5,22.4,-5,0.84,0,0,0,0,0,24.2,-5,22.4,-5,8.40E-01
123,YBR244W,GPX2,19.5,-10,29.6,-10,0.023,0,0,0,0,0,19.5,-10,29.6,-10,2.30E-02
124,YHR104W,GRE3,18.6,-5,22.4,-5,0.6,0,0,0,0,0,18.6,-5,22.4,-5,6.00E-01
