YAL043C_damp,PTA1_damp,YNL098C,RAS2,-0.1264,0.0561,2.62E-02
YAL043C_damp,PTA1_damp,YNL090W,RHO2,-0.1711,0.2921,1.49E-02
YAL043C_damp,PTA1_damp,YOR049C,RSB1,-0.2445,0.3768,3.50E-03
YAL043C_damp,PTA1_damp,YPR045C,YPR045C,-0.1529,0.0708,1.42E-02
YAL042W,ERV46,YDR169C,STB3,-0.17,0.117,2.01E-02
YAL042W,ERV46,YDR388W,RVS167,-0.2692,0.0144,6.84E-41
YAL042W,ERV46,YGR034W,RPL26B,-0.143,0.0128,7.61E-16
YAL042W,ERV46,YHR034C,PIH1,-0.2409,0.0257,1.73E-13
YAL042W,ERV46,YIL029C,YIL029C,-0.1387,0.1468,3.47E-02
YAL042W,ERV46,YJL095W,BCK1,-0.1246,0.0738,1.88E-02
YAL042W,ERV46,YJR054W,ERM6,-0.2181,0.1014,4.07E-02
YAL042W,ERV46,YKL041W,VPS24,-0.2498,0.1522,4.44E-03
YAL042W,ERV46,YKR020W,VPS51,-0.1601,0.0892,1.21E-02
YAL042W,ERV46,YLL039C,UBI4,-0.1338,0.0267,8.94E-05
YAL042W,ERV46,YML112W,CTK3,-0.1246,0.0329,2.14E-03
YAL042W,ERV46,YML034W,SRC1,-0.1804,0.0137,1.01E-21
YAL042W,ERV46,YOR068C,VAM10,-0.2249,0.0518,1.49E-04
YAL042W,ERV46,YOR270C,VPH1,-0.1323,0.0735,4.03E-02
YAL042W,ERV46,YPL080C,YPL080C,-0.1338,0.0385,2.59E-03
YAL042W,ERV46,YPR070W,MED1,-0.146,0.067,1.96E-02
YAL041W_tsq412,cdc24-3,YBR231C,SWC5,0.2578,0.0358,2.25E-08
YAL041W_tsq412,cdc24-3,YCR062W,YCR062W,-0.1244,0.0146,7.21E-10
YAL041W_tsq412,cdc24-3,YDL173W,PAR32,-0.1416,0.1681,3.47E-02
YAL041W_tsq412,cdc24-3,YDL081C,RPP1A,-0.1929,0.0446,2.85E-04
YAL041W_tsq412,cdc24-3,YDL013W,SLX5,-0.1936,0.0827,2.10E-03
YAL041W_tsq412,cdc24-3,YDR080W,VPS41,-0.163,0.0582,2.13E-03
YAL041W_tsq412,cdc24-3,YDR147W,EKI1,-0.1569,0.0788,7.90E-03
YAL041W_tsq412,cdc24-3,YER061C,CEM1,-0.1651,0.0756,1.23E-03
YAL041W_tsq412,cdc24-3,YER116C,SLX8,-0.1848,0.1695,6.05E-03
YAL041W_tsq412,cdc24-3,YER161C,SPT2,-0.1201,0.0274,2.26E-04
YAL041W_tsq412,cdc24-3,YFR013W,IOC3,-0.1638,0.0155,1.34E-14
YAL041W_tsq412,cdc24-3,YGL255W,ZRT1,-0.208,0.1573,1.19E-02
YAL041W_tsq412,cdc24-3,YGL029W,CGR1,0.2525,0.1232,4.36E-02
YAL041W_tsq412,cdc24-3,YGR101W,PCP1,-0.1481,0.1123,3.41E-02
YAL041W_tsq412,cdc24-3,YHR178W,STB5,-0.1331,0.0943,3.48E-02
YAL041W_tsq412,cdc24-3,YJL186W,MNN5,-0.2131,0.006,2.40E-140
YAL041W_tsq412,cdc24-3,YKL171W,YKL171W,0.16,0.0905,4.90E-02
YAL041W_tsq412,cdc24-3,YKL081W,TEF4,-0.176,0.0523,2.66E-03
YAL041W_tsq412,cdc24-3,YLL047W,YLL047W,-0.1342,0.0497,1.77E-02
YAL041W_tsq412,cdc24-3,YLR039C,RIC1,-0.1244,0.0129,6.01E-12
YAL041W_tsq412,cdc24-3,YLR089C,ALT1,-0.3007,0.079,1.31E-04
YAL041W_tsq412,cdc24-3,YLR107W,REX3,-0.161,0.0364,5.09E-04
YAL041W_tsq412,cdc24-3,YLR205C,HMX1,-0.1317,0.0152,4.88E-10
YAL041W_tsq412,cdc24-3,YLR313C,SPH1,-0.2225,0.0516,3.45E-04
YAL041W_tsq412,cdc24-3,YML001W,YPT7,-0.1246,0.0504,1.27E-02
YAL041W_tsq412,cdc24-3,YMR030W,RSF1,-0.2371,0.357,3.50E-02
YAL041W_tsq412,cdc24-3,YNR007C,ATG3,-0.1456,0.0173,4.46E-10
YAL041W_tsq412,cdc24-3,YOL014W,YOL014W,-0.1582,0.0569,6.67E-03
YAL041W_tsq412,cdc24-3,YOL001W,PHO80,-0.3057,0.0842,2.50E-06
YAL041W_tsq412,cdc24-3,YOR101W,RAS1,-0.2028,0.062,1.57E-03
YAL041W_tsq412,cdc24-3,YPL262W,FUM1,-0.1295,0.0469,1.43E-02
YAL041W_tsq149,cdc24-4,YBR238C,YBR238C,-0.1256,0.047,1.09E-02
YAL041W_tsq149,cdc24-4,YBR274W,CHK1,-0.2025,0.155,1.85E-02
YAL041W_tsq149,cdc24-4,YBR294W,SUL1,-0.1238,0.0719,3.13E-02
YAL041W_tsq149,cdc24-4,YDL240W,LRG1,-0.1323,0.0555,1.18E-02
YAL041W_tsq149,cdc24-4,YDL191W,RPL35A,-0.1837,0.0582,9.76E-04
YAL041W_tsq149,cdc24-4,YDL104C,QRI7,-0.1354,0.1374,4.68E-02
YAL041W_tsq149,cdc24-4,YDL085W,NDE2,-0.2722,0.0605,1.27E-06
YAL041W_tsq149,cdc24-4,YDR094W,YDR094W,-0.1427,0.1078,4.32E-02
YAL041W_tsq149,cdc24-4,YDR099W,BMH2,-0.1207,0.1061,4.52E-02
YAL041W_tsq149,cdc24-4,YDR262W,YDR262W,-0.1672,0.0553,1.77E-03
YAL041W_tsq149,cdc24-4,YDR287W,INM2,-0.1235,0.0467,7.11E-03
YAL041W_tsq149,cdc24-4,YDR392W,SPT3,-0.2634,0.0519,6.46E-07
YAL041W_tsq149,cdc24-4,YDR403W,DIT1,-0.1295,0.1208,4.48E-02
YAL041W_tsq149,cdc24-4,YDR520C,URC2,-0.144,0.0893,9.95E-03
YAL041W_tsq149,cdc24-4,YER048C,CAJ1,-0.1577,0.1934,1.16E-02
YAL041W_tsq149,cdc24-4,YER093C-A,AIM11,-0.2843,0.1496,6.77E-05
YAL041W_tsq149,cdc24-4,YFL036W,RPO41,-0.3148,0.0012,0.00E+00
YAL041W_tsq149,cdc24-4,YFR023W,PES4,-0.336,0.2475,7.39E-05
YAL041W_tsq149,cdc24-4,YFR038W,IRC5,-0.2861,0.2975,3.03E-04
YAL041W_tsq149,cdc24-4,YFR049W,YMR31,-0.3202,0.1137,9.15E-06
YAL041W_tsq149,cdc24-4,YGL253W,HXK2,-0.1641,0.054,1.85E-03
YAL041W_tsq149,cdc24-4,YGL252C,RTG2,0.17,0.0314,3.18E-05
YAL041W_tsq149,cdc24-4,YGL194C,HOS2,-0.1452,0.0207,1.72E-07
YAL041W_tsq149,cdc24-4,YGL114W,YGL114W,-0.2362,0.0672,1.24E-04
YAL041W_tsq149,cdc24-4,YGL084C,GUP1,-0.376,0.3076,3.82E-07
YAL041W_tsq149,cdc24-4,YGL031C,RPL24A,-0.199,0.1126,1.07E-02
YAL041W_tsq149,cdc24-4,YGR096W,TPC1,-0.1249,0.0295,5.11E-04
YAL041W_tsq149,cdc24-4,YGR231C,PHB2,-0.2143,0.1241,2.44E-03
YAL041W_tsq149,cdc24-4,YGR256W,GND2,-0.2943,0.0562,7.64E-07
YAL041W_tsq149,cdc24-4,YGR266W,YGR266W,-0.1212,0.032,1.88E-03
YAL041W_tsq149,cdc24-4,YGR270W,YTA7,-0.1205,0.0219,2.18E-05
YAL041W_tsq149,cdc24-4,YHR034C,PIH1,-0.1607,0.0439,6.15E-04
YAL041W_tsq149,cdc24-4,YHR059W,FYV4,-0.2449,0.04,1.11E-06
YAL041W_tsq149,cdc24-4,YHR143W,DSE2,-0.2002,0.0317,3.59E-07
YAL041W_tsq149,cdc24-4,YHR163W,SOL3,-0.1251,0.0311,7.68E-04
YAL041W_tsq149,cdc24-4,YHR200W,RPN10,-0.3165,0.1112,3.93E-06
YAL041W_tsq149,cdc24-4,YIL040W,APQ12,-0.1772,0.0275,4.01E-07
YAL041W_tsq149,cdc24-4,YLR056W,ERG3,-0.1515,0.0302,1.02E-04
YAL041W_tsq149,cdc24-4,YLR061W,RPL22A,-0.1248,0.0482,1.83E-02
YAL041W_tsq149,cdc24-4,YOL004W,SIN3,-0.1256,0.0246,9.29E-05
YAL041W_tsq149,cdc24-4,YPL226W,NEW1,-0.1388,0.0188,3.28E-08
YAL041W_tsq149,cdc24-4,YPR024W,YME1,-0.1382,0.0085,9.52E-31
YAL041W_tsq148,cdc24-11,YDR149C,YDR149C,-0.1496,0.0438,7.07E-03
YAL041W_tsq148,cdc24-11,YDR309C,GIC2,-0.1681,0.0202,2.14E-10
YAL041W_tsq148,cdc24-11,YER111C,SWI4,-0.1713,0.1292,4.18E-03
YAL041W_tsq148,cdc24-11,YER149C,PEA2,-0.1273,0.058,7.00E-03
YAL041W_tsq148,cdc24-11,YGL252C,RTG2,-0.1407,0.0557,1.09E-02
YAL041W_tsq148,cdc24-11,YGL173C,KEM1,-0.1212,0.0528,1.76E-02
YAL041W_tsq148,cdc24-11,YGR151C,YGR151C,-0.2102,0.064,1.83E-04
YAL041W_tsq148,cdc24-11,YGR152C,RSR1,-0.2198,0.0525,1.97E-05
YAL041W_tsq148,cdc24-11,YHR129C,ARP1,-0.204,0.019,3.71E-15
YAL041W_tsq148,cdc24-11,YJL187C,SWE1,-0.1256,0.0602,2.27E-02
YAL041W_tsq148,cdc24-11,YJL183W,MNN11,-0.1391,0.0347,6.75E-04
YAL041W_tsq148,cdc24-11,YJR087W,YJR087W,-0.1929,0.0999,3.21E-03
YAL041W_tsq148,cdc24-11,YKL007W,CAP1,-0.1234,0.0064,5.16E-43
YAL041W_tsq148,cdc24-11,YKR054C,DYN1,-0.1221,0.025,3.09E-04
YAL041W_tsq148,cdc24-11,YLR056W,ERG3,-0.1417,0.0736,3.20E-02
YAL041W_tsq148,cdc24-11,YLR319C,BUD6,-0.1809,0.0291,2.25E-06
YAL041W_tsq148,cdc24-11,YMR202W,ERG2,-0.1249,0.007,3.82E-37
YAL041W_tsq148,cdc24-11,YNL079C,TPM1,-0.1765,0.1057,5.99E-03
YAL041W_tsq148,cdc24-11,YOR123C,LEO1,-0.1255,0.0516,8.98E-03
YAL041W_tsq148,cdc24-11,YPL161C,BEM4,-0.2318,0.0468,2.74E-06
YAL041W_tsq148,cdc24-11,YPR070W,MED1,-0.1204,0.0128,8.25E-12
YAL038W_tsq26,cdc19-1,YBR125C,PTC4,-0.1583,0.187,4.99E-02
YAL038W_tsq26,cdc19-1,YCL026C,YCL026C,-0.217,0.1863,4.38E-03
YAL038W_tsq26,cdc19-1,YDR126W,SWF1,-0.1926,0.0254,6.13E-09
YAL038W_tsq26,cdc19-1,YDR127W,ARO1,-0.1222,0.0399,4.98E-03
YAL038W_tsq26,cdc19-1,YDR148C,KGD2,-0.1938,0.0661,2.00E-03
YAL038W_tsq26,cdc19-1,YER052C,HOM3,-0.159,0.0232,6.93E-08
YAL038W_tsq26,cdc19-1,YGL237C,HAP2,-0.146,0.0196,2.48E-08
YAL038W_tsq26,cdc19-1,YGL080W,FMP37,-0.1409,0.0388,1.66E-03
YAL038W_tsq26,cdc19-1,YIL154C,IMP2',-0.2079,0.1432,7.40E-03
YAL038W_tsq26,cdc19-1,YIL153W,RRD1,-0.2294,0.0226,9.47E-15
YAL038W_tsq26,cdc19-1,YJR044C,VPS55,-0.1257,0.0583,2.71E-02
YAL038W_tsq26,cdc19-1,YKR050W,TRK2,-0.1777,0.1193,4.63E-02
YAL038W_tsq26,cdc19-1,YLR056W,ERG3,-0.2916,0.0373,6.88E-10
YAL038W_tsq26,cdc19-1,YLR410W,VIP1,-0.1877,0.0633,6.18E-03
YAL038W_tsq26,cdc19-1,YLR414C,YLR414C,-0.1364,0.055,2.55E-02
YAL038W_tsq26,cdc19-1,YML097C,VPS9,-0.1302,0.059,1.89E-02
YAL038W_tsq26,cdc19-1,YMR192W,GYL1,-0.1225,0.0794,4.85E-02
YAL038W_tsq26,cdc19-1,YMR282C,AEP2,-0.1316,0.063,3.44E-02
YAL038W_tsq26,cdc19-1,YOR135C,IRC14,-0.1712,0.0169,1.64E-13
YAL038W_tsq26,cdc19-1,YOR327C,SNC2,0.1738,0.014,5.60E-19
YAL038W_tsq26,cdc19-1,YPR057W,BRR1,-0.2838,0.0314,8.58E-12
YAL038W_tsq26,cdc19-1,YPR060C,ARO7,-0.1508,0.0365,5.60E-04
YAL038W_tsq26,cdc19-1,YPR096C,YPR096C,-0.1722,0.1298,2.08E-02
YAL034W-A_tsq235,mtw1-ts,YAL055W,PEX22,0.1633,0.0122,7.45E-22
YAL034W-A_tsq235,mtw1-ts,YAL010C,MDM10,0.2145,0.0139,1.65E-28
YAL034W-A_tsq235,mtw1-ts,YAR003W,SWD1,0.1936,0.0421,4.42E-05
YAL034W-A_tsq235,mtw1-ts,YBR030W,RKM3,-0.1499,0.0771,1.49E-02
YAL034W-A_tsq235,mtw1-ts,YBR103W,SIF2,-0.1409,0.0746,2.01E-02
YAL034W-A_tsq235,mtw1-ts,YBR132C,AGP2,-0.1252,0.0401,9.13E-03
YAL034W-A_tsq235,mtw1-ts,YCR033W,SNT1,-0.1336,0.0355,1.16E-03
YAL034W-A_tsq235,mtw1-ts,YCR063W,BUD31,-0.15,0.0255,3.93E-06
YAL034W-A_tsq235,mtw1-ts,YDL226C,GCS1,-0.1625,0.1054,3.31E-02
