gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
SEN34	YAR008W	2	22	1.63077	0.66114	0.08256	1.04718	1.01887	1.01875	0.99261	0.96462
BUD14	YAR014C	2	22	1.17060	0.44020	0.07575	1.06570	1.07141	1.12957	1.10513	1.05382
ade1	YAR015W	2	22	2.24625	0.94799	0.03917	1.00569	1.00306	0.99378	0.96652	0.98377
KIN3	YAR018C	2	22	5.50457	2.20517	0.05300	0.95764	0.93957	0.99258	0.98631	0.97232
cdc15	YAR019C	2	22	1.00038	0.35871	0.06827	1.06247	1.07802	1.12150	1.09895	1.05323
PAU7	YAR020C	2	22	0.36453	0.08089	0.03390	1.04336	1.04416	1.05457	1.03238	1.02067
YAR023C	YAR023C	2	22	0.91246	0.31707	0.06681	1.05752	1.07273	1.11345	1.08283	1.04664
YAR027W	YAR027W	2	22	0.78794	0.25905	0.05888	1.05420	1.05671	1.09194	1.06278	1.03307
YAR028W	YAR028W	2	22	3.81074	1.60456	0.06591	0.96500	0.98510	0.96242	0.92984	0.99575
YAR029W	YAR029W	2	22	1.04143	0.37827	0.06843	1.06993	1.08668	1.13169	1.11088	1.06326
YAR030C	YAR030C	2	22	0.46493	0.11889	0.03180	1.04062	1.04252	1.05588	1.02959	1.02407
PRM9	YAR031W	2	22	0.47389	0.12245	0.03063	1.02808	1.03559	1.04912	1.03062	1.01850
YAT1	YAR035W	2	22	0.38872	0.08968	0.02122	1.02225	1.03652	1.03561	1.01988	1.01529
YAR037W	YAR037W	2	22	1.62015	0.65608	0.05194	1.02760	1.03535	1.06756	1.04654	1.01563
YAR040C	YAR040C	2	22	3.70904	1.56508	0.04067	0.99418	0.99737	0.97776	0.96086	1.00154
SWH1	YAR042W	2	22	1.94742	0.81047	0.06876	0.97216	0.97126	0.92702	0.91932	0.98807
YAR043C	YAR043C	2	22	1.40309	0.55210	0.04352	0.98837	0.99049	0.95991	0.95233	0.99585
OSH1	YAR044W	2	22	2.89774	1.23447	0.07999	0.95815	0.95922	0.89377	0.90585	0.97376
YAR047C	YAR047C	2	22	2.51385	1.06794	0.03793	0.96673	0.94612	0.97643	0.98405	0.98233
FLO1	YAR050W	3	33	3.11915	1.48498	0.05483	1.01352	1.00630	1.04739	1.06113	1.01920
ECM15	YBL001C	3	31	64.19341	11.41565	0.27255	0.80799	0.66212	0.53544	0.58722	0.62753
HTB2	YBL002W	2	17	37.31803	5.25589	0.33442	0.91302	0.86554	0.57860	0.62502	0.71576
HTA2	YBL003C	4	31	29.65995	7.85058	0.21243	0.81398	0.73517	0.60155	0.63430	0.74569
YBL004W	YBL004W	4	44	3.83751	1.96205	0.05299	1.01840	1.02022	1.04928	1.06106	1.00807
pdr3	YBL005W	2	14	4.09211	1.29434	0.17117	0.81622	0.76770	0.64506	0.65675	0.76358
YBL006C	YBL006C	2	22	1.92868	0.80173	0.07523	1.03293	1.04079	1.06662	1.07430	0.99907
SLA1	YBL007C	2	22	11.80937	3.80912	0.06540	0.88354	0.87654	0.89786	0.94194	0.92783
HIR1	YBL008W	2	22	2.13522	0.89732	0.06372	1.02897	1.03181	1.05882	1.06253	0.99881
