"I.mle"	"I.0"	"G.mle"	"G.0"	"lh.max"
0.00415394347397829	0.00271499573462633	0.114633325932860	0.144192862808629	-374.878105527198
0.00510470063604745	0.00443887011830213	0.109840496942355	0.124113555867067	-377.307320753309
0.00421432450594877	0.00305385833764404	0.122471140776863	0.145798977115313	-367.643414890341
0.00394932849757917	0.00323715450621243	0.118990593523620	0.136770797153586	-371.069518940745
0.00450745286946033	0.00479516262708546	0.110148132294087	0.112972443378551	-378.852452160528
0.00466580200611993	0.00440170000577352	0.111658238492	0.122030861739891	-376.376586311715
0.00404833211955415	0.00311410163042627	0.125864148408679	0.147209530302548	-364.872278597297
0.00363497908670664	0.00333484319881344	0.121797387391000	0.135330430434445	-370.461792587176
0.00494191995175778	0.00299510300106532	0.118463597628083	0.151876407215491	-369.487638052337
0.00311060161304709	0.00222185829503364	0.126388647938444	0.150462676117195	-367.574758320622
0.00394707947013495	0.00305975152723639	0.11490039398879	0.134386425717883	-374.782779077906
0.00502169641338819	0.00408268001088471	0.108212159544391	0.126563929291685	-377.842382526987
0.00694468874748884	0.00763152609614158	0.097596176165842	0.100098642221376	-384.127836736818
0.00461597675386885	0.00401389282945118	0.115717888153272	0.128575431281413	-373.843554813704
0.00538080303001718	0.0048042884196582	0.106804482065576	0.120683030582572	-378.74771049356
0.00453448182925312	0.00458028467601325	0.106462878722310	0.114476213679904	-381.401408423947
0.00570273119557138	0.00365559692023807	0.110278368996161	0.141382524354052	-374.353204618015
0.0058564081169636	0.00480033452210132	0.109204086617437	0.127724077915131	-374.761307154968
0.00413577289897345	0.00372592153060671	0.113181612218939	0.125757346909932	-376.82807371131
0.0034189607544004	0.00215028978264176	0.131951935318594	0.162903623850116	-361.93787301528
0.00332453865915764	0.00310704547584826	0.120802693115899	0.132024801219562	-372.138415125587
0.00471444691393051	0.00432518065498212	0.112107805275387	0.124564228083764	-374.582297130577
0.00387541506145247	0.00320282236483675	0.121257747679777	0.139376721471008	-369.07119234644
0.00452369107942761	0.00282730692464226	0.114863397461534	0.147260765976325	-373.410613888037
0.00266556280476721	0.00317328905329430	0.125206105424386	0.122751083749398	-372.261646678512
0.00443135518216996	0.00346199623607028	0.116628834637127	0.136407993727634	-373.035847351423
0.00519368414910765	0.0056453088577257	0.107794820713383	0.110558790475265	-378.452449006203
0.00465654821421522	0.00456524334726982	0.118553782851023	0.125453738466691	-371.598699849632
0.00512272107468747	0.00528115574710048	0.107425706281343	0.113677996064913	-378.374389225781
0.00366664423275509	0.00284235987035278	0.120962973901017	0.14147716245733	-371.262813508196
0.00561658558505576	0.00631077032028737	0.107602319558700	0.107066984635523	-378.349300546311
0.00342693959651567	0.00323296188350534	0.124526717578954	0.136094773310332	-368.728805029067
0.00500043287257745	0.00396859751791861	0.113003098901532	0.132167367136294	-374.752655368694
0.00357752875144601	0.00277327810189613	0.120399406688681	0.140818019518925	-370.733921795551
0.00433630172193744	0.00433630172193744	0.109654766057868	0.117908350599858	-379.39414383757
0.00308970102145918	0.00216063008493649	0.126012973738379	0.150015444926641	-368.730348230964
0.00349148172539242	0.00415652586356241	0.121717556361489	0.119330937609303	-372.635009683013
0.00447206197258042	0.00480866878772088	0.118255771430628	0.119450274172352	-373.713480299342
0.00430852506063607	0.00410335720060578	0.111595028744747	0.119994654564244	-378.433629778800
0.00543626333461859	0.0048538065487666	0.111987800309443	0.126539887355303	-373.688481057482
0.00569813724605287	0.00428431371883674	0.104999156444290	0.129628588202827	-379.487837853419
0.00651917543308455	0.00592652312098596	0.101979327561573	0.117217617886865	-379.820883406164
0.00404523712827126	0.00454521025648456	0.117569955090502	0.118757530394446	-373.948614299433
0.00298464262906542	0.00240696986214953	0.130874479786210	0.147880768120012	-366.056799811752
0.00640651281377065	0.00744943350438448	0.100732454915183	0.0987573087403757	-382.778896918711
0.00525841009581487	0.00577847263276359	0.110054948692934	0.112876870454292	-376.880421576467
0.00592409144820256	0.00528936736446657	0.101499410142278	0.116665988669285	-382.213440694666
0.00317643090550904	0.00296862701449443	0.134457109872972	0.144577537497819	-361.755246342030
0.00349011701120613	0.00311617590286261	0.125662635458341	0.139625150509268	-367.380674712302
0.00520845080180052	0.00452908765373958	0.111614407808585	0.128292422768488	-374.211084799091
0.00336914659351072	0.00309096017753277	0.127345524655658	0.136930671672751	-366.526161921782
0.00438374679179031	0.00492555819302282	0.119843093649946	0.121053629949440	-370.264027234925
